0!min.x,0!min.y,0!max.x,0!max.y,0!δ(min.x),0!δ(max.x),0!δ(min.y),0!δ(max.y),p1d1!min.x,p1d1!min.y,p1d1!max.x,p1d1!max.y,p1d1!δ(min.x),p1d1!δ(max.x),p1d1!δ(min.y),p1d1!δ(max.y),p1d2!min.x,p1d2!min.y,p1d2!max.x,p1d2!max.y,p1d2!δ(min.x),p1d2!δ(max.x),p1d2!δ(min.y),p1d2!δ(max.y),p1d3!min.x,p1d3!min.y,p1d3!max.x,p1d3!max.y,p1d3!δ(min.x),p1d3!δ(max.x),p1d3!δ(min.y),p1d3!δ(max.y),p3d1!min.x,p3d1!min.y,p3d1!max.x,p3d1!max.y,p3d1!δ(min.x),p3d1!δ(max.x),p3d1!δ(min.y),p3d1!δ(max.y),p3d2!min.x,p3d2!min.y,p3d2!max.x,p3d2!max.y,p3d2!δ(min.x),p3d2!δ(max.x),p3d2!δ(min.y),p3d2!δ(max.y),p13d2!min.x,p13d2!min.y,p13d2!max.x,p13d2!max.y,p13d2!δ(min.x),p13d2!δ(max.x),p13d2!δ(min.y),p13d2!δ(max.y),p13d3!min.x,p13d3!min.y,p13d3!max.x,p13d3!max.y,p13d3!δ(min.x),p13d3!δ(max.x),p13d3!δ(min.y),p13d3!δ(max.y),p12d2!min.x,p12d2!min.y,p12d2!max.x,p12d2!max.y,p12d2!δ(min.x),p12d2!δ(max.x),p12d2!δ(min.y),p12d2!δ(max.y)
13.238999999999999,-0.225,13.878000000000002,0.216,0.031,0.045,0.02,0.02,15.479,-0.303,15.996999999999998,0.294,0.035,0.021,0.02,0.02,17.921500000000005,-0.2465,18.512,0.20750000000000002,0.062,0.041,0.02,0.02,20.977000000000004,-0.34750000000000003,21.691,0.2985,0.063,0.055,0.02,0.02,24.840999999999998,-0.273,25.387999999999998,0.26,0.061,0.059000000000000004,0.02,0.02,26.007500000000004,-0.2985,26.5725,0.2855,0.062,0.046,0.02,0.02,25.1665,-0.194,25.693000000000005,0.16799999999999998,0.07200000000000001,0.055,0.02,0.02,22.1065,-0.1725,22.726499999999998,0.1945,0.062,0.076,0.02,0.02,21.212,-0.24,21.819499999999998,0.248,0.073,0.054,0.02,0.02
14.517500000000004,-0.216,15.157999999999996,0.207,0.07200000000000001,0.079,0.02,0.02,16.513499999999997,-0.295,17.029500000000002,0.29,0.024,0.056,0.02,0.02,19.102,-0.2425,19.691499999999998,0.20750000000000002,0.037,0.07,0.02,0.02,22.405,-0.34750000000000003,23.1215,0.2985,0.037,0.018000000000000002,0.02,0.02,25.934500000000003,-0.268,26.4815,0.255,0.054,0.052000000000000005,0.02,0.02,27.1375,-0.2905,27.702499999999997,0.2855,0.058,0.042,0.02,0.02,26.218999999999998,-0.199,26.746,0.16799999999999998,0.055,0.031,0.02,0.02,23.347999999999995,-0.1725,23.9675,0.1895,0.047,0.064,0.02,0.02,22.425499999999996,-0.24,23.0205,0.244,0.06,0.058,0.02,0.02
15.798499999999999,-0.211,16.4385,0.20299999999999999,0.052000000000000005,0.066,0.02,0.02,17.546499999999998,-0.286,18.0635,0.281,0.056,0.048,0.02,0.02,20.281000000000002,-0.2375,20.8715,0.20750000000000002,0.065,0.05,0.02,0.02,23.8315,-0.3425,24.5455,0.2905,0.068,0.06,0.02,0.02,27.028000000000002,-0.264,27.574999999999996,0.251,0.047,0.047,0.02,0.02,28.266500000000004,-0.28550000000000003,28.831499999999995,0.2815,0.058,0.04,0.02,0.02,27.271500000000003,-0.199,27.796000000000003,0.16399999999999998,0.032,0.067,0.02,0.02,24.591999999999995,-0.1765,25.2095,0.1895,0.023,0.05,0.02,0.02,23.6395,-0.245,24.246,0.24,0.042,0.069,0.02,0.02
17.081999999999997,-0.207,17.719499999999996,0.199,0.025,0.052000000000000005,0.02,0.02,18.580000000000002,-0.282,19.096999999999998,0.281,0.051000000000000004,0.043000000000000003,0.02,0.02,21.461499999999997,-0.2375,22.051,0.20350000000000001,0.044,0.077,0.02,0.02,25.259999999999994,-0.34750000000000003,25.974,0.2905,0.045,0.031,0.02,0.02,28.121500000000005,-0.26,28.668,0.246,0.038,0.039,0.02,0.02,29.396,-0.28150000000000003,29.961000000000006,0.27749999999999997,0.059000000000000004,0.039,0.02,0.02,28.3225,-0.194,28.848499999999998,0.16399999999999998,0.068,0.05,0.02,0.02,25.829000000000004,-0.1725,26.451999999999998,0.1895,0.081,0.029,0.02,0.02,24.8525,-0.236,25.459499999999995,0.244,0.07200000000000001,0.054,0.02,0.02
18.358499999999996,-0.198,19.0,0.194,0.08,0.037,0.02,0.02,19.6135,-0.277,20.130500000000005,0.277,0.046,0.038,0.02,0.02,22.641,-0.23349999999999999,23.231,0.1985,0.073,0.059000000000000004,0.02,0.02,26.6865,-0.3425,27.400500000000005,0.2855,0.07200000000000001,0.064,0.02,0.02,29.215,-0.255,29.760500000000004,0.242,0.031,0.032,0.02,0.02,30.525,-0.2775,31.089499999999997,0.2725,0.057,0.04,0.02,0.02,29.374499999999994,-0.194,29.902499999999996,0.16399999999999998,0.052000000000000005,0.02,0.02,0.02,27.070000000000004,-0.16849999999999998,27.690499999999997,0.1895,0.07100000000000001,0.08,0.02,0.02,26.066,-0.236,26.674,0.24,0.059000000000000004,0.035,0.02,0.02
19.638500000000004,-0.194,20.278499999999998,0.186,0.07,0.08600000000000001,0.02,0.02,20.647000000000002,-0.273,21.1635,0.273,0.039,0.034,0.02,0.02,23.821499999999997,-0.2375,24.412000000000003,0.1985,0.054,0.033,0.02,0.02,28.113499999999995,-0.3425,28.828,0.2815,0.05,0.037,0.02,0.02,30.308500000000002,-0.251,30.855500000000006,0.238,0.02,0.018000000000000002,0.02,0.02,31.653500000000005,-0.2725,32.2185,0.2685,0.056,0.04,0.02,0.02,30.4285,-0.194,30.951500000000003,0.159,0.024,0.064,0.02,0.02,28.311,-0.16849999999999998,28.931999999999995,0.1895,0.059000000000000004,0.07100000000000001,0.02,0.02,27.279499999999995,-0.24,27.8855,0.23500000000000001,0.042,0.07200000000000001,0.02,0.02
20.919000000000004,-0.19,21.5585,0.181,0.063,0.082,0.02,0.02,21.680000000000003,-0.269,22.197,0.268,0.037,0.023,0.02,0.02,25.003500000000006,-0.2375,25.590999999999998,0.1945,0.022,0.065,0.02,0.02,29.54,-0.3385,30.2535,0.27649999999999997,0.077,0.07,0.02,0.02,31.399000000000004,-0.24200000000000002,31.947999999999997,0.23299999999999998,0.065,0.015,0.02,0.02,32.782999999999994,-0.2635,33.346999999999994,0.2685,0.059000000000000004,0.045,0.02,0.02,31.477500000000006,-0.19,32.004,0.159,0.066,0.047,0.02,0.02,29.552999999999994,-0.16849999999999998,30.173000000000002,0.1895,0.043000000000000003,0.059000000000000004,0.02,0.02,28.492499999999996,-0.236,29.098999999999993,0.23500000000000001,0.076,0.059000000000000004,0.02,0.02
22.198999999999995,-0.185,22.838,0.177,0.055,0.079,0.02,0.02,22.712500000000002,-0.264,23.231500000000004,0.264,0.034,0.014,0.02,0.02,26.180500000000002,-0.23349999999999999,26.770999999999994,0.1945,0.064,0.043000000000000003,0.02,0.02,30.967499999999998,-0.3425,31.680999999999997,0.27649999999999997,0.058,0.049,0.02,0.02,32.491,-0.23800000000000002,33.037,0.22499999999999998,0.065,0.067,0.02,0.02,33.911,-0.2595,34.4755,0.2645,0.061,0.05,0.02,0.02,32.5295,-0.19,33.055,0.155,0.05,0.079,0.02,0.02,30.792499999999997,-0.1635,31.4145,0.1895,0.09,0.044,0.02,0.02,29.706,-0.236,30.313000000000002,0.23500000000000001,0.063,0.043000000000000003,0.02,0.02
23.478499999999997,-0.181,24.117499999999996,0.173,0.052000000000000005,0.074,0.02,0.02,23.746,-0.26,24.264000000000003,0.259,0.031,0.017,0.02,0.02,27.361000000000004,-0.23349999999999999,27.9495,0.1895,0.041,0.074,0.02,0.02,32.396,-0.3425,33.1075,0.27249999999999996,0.029,0.074,0.02,0.02,33.583499999999994,-0.234,34.1295,0.22,0.064,0.068,0.02,0.02,35.0395,-0.2555,35.6035,0.2595,0.066,0.054,0.02,0.02,33.5835,-0.186,34.106500000000004,0.159,0.022,0.064,0.02,0.02,32.0335,-0.1635,32.6535,0.1855,0.082,0.09,0.02,0.02,30.919500000000003,-0.236,31.525,0.231,0.048,0.073,0.02,0.02
24.7585,-0.177,25.396,0.168,0.04,0.075,0.02,0.02,24.7785,-0.251,25.294999999999998,0.259,0.028,0.023,0.02,0.02,28.539499999999993,-0.22449999999999998,29.130000000000003,0.1945,0.07200000000000001,0.055,0.02,0.02,33.8205,-0.3385,34.534499999999994,0.27249999999999996,0.062,0.054,0.02,0.02,34.675000000000004,-0.229,35.221,0.216,0.065,0.069,0.02,0.02,36.1705,-0.2555,36.732,0.2555,0.018000000000000002,0.057,0.02,0.02,34.6325,-0.18100000000000002,35.1585,0.159,0.066,0.048,0.02,0.02,33.275,-0.1635,33.895,0.1855,0.07100000000000001,0.081,0.02,0.02,32.134499999999996,-0.236,32.7385,0.231,0.022,0.06,0.02,0.02
