#dadi:   5
#lanci:  2000000
#volte:  10000
#thread: 50
#totale: 1000000000000
[3950/500000|0%]	3174855976	3174821045	1269875031	254029886	25401837	1016225
[4000/500000|0%]	3215040009	3215015435	1285945091	257247661	25723039	1028765
[4050/500000|0%]	3255224095	3255205131	1302023145	260462006	26044021	1041602
[4100/500000|0%]	3295414027	3295391815	1318099751	263675157	26364939	1054311
[4150/500000|0%]	3335600738	3335579126	1334176807	266889427	26686783	1067119
[4200/500000|0%]	3375788904	3375764437	1350254776	270103771	27008057	1080055
[4250/500000|0%]	3415982570	3415953412	1366320840	273320291	27330100	1092787
[4300/500000|0%]	3456171035	3456136465	1382400229	276535599	27650808	1105864
[4350/500000|0%]	3496353770	3496332703	1398474739	279747708	27972573	1118507
[4400/500000|0%]	3536536489	3536530823	1414545249	282961797	28294327	1131315
[4450/500000|0%]	3576717963	3576722142	1430621464	286178007	28616426	1143998
[4500/500000|0%]	3616905214	3616905378	1446702972	289392519	28937046	1156871
[4550/500000|0%]	3657086478	3657101395	1462776445	292606805	29259093	1169784
[4600/500000|0%]	3697272890	3697292130	1478849751	295821142	29581474	1182613
[4650/500000|0%]	3737459096	3737484439	1494920651	299036981	29903378	1195455
[4700/500000|0%]	3777650104	3777671714	1510991088	302253791	30225091	1208212
[4750/500000|0%]	3817845082	3817859652	1527059588	305468327	30546332	1221019
[4800/500000|0%]	3858026863	3858054671	1543131235	308686058	30867392	1233781
[4850/500000|0%]	3898217072	3898243374	1559203079	311899579	31190196	1246700
[4900/500000|0%]	3938402547	3938429159	1575282526	315114070	31512245	1259453
[4950/500000|0%]	3978586424	3978622955	1591353801	318330478	31834175	1272167
[5000/500000|1%]	4018779443	4018810402	1607425332	321544696	32155136	1284991
[5050/500000|1%]	4058973716	4058987373	1623506460	324757503	32477217	1297731
[5100/500000|1%]	4099169910	4099163845	1639584784	327972041	32798794	1310626
[5150/500000|1%]	4139352988	4139351593	1655663978	331186794	33121101	1323546
[5200/500000|1%]	4179535538	4179544003	1671739655	334402086	33442359	1336359
[5250/500000|1%]	4219728466	4219727360	1687815918	337615815	33763313	1349128
[5300/500000|1%]	4259913197	4259914080	1703890863	340834393	34085516	1361951
[5350/500000|1%]	4300105138	4300097499	1719969825	344046220	34406491	1374827
