Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,3.2e-06,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.1
Label,,
TIME,CH1,CH2
-3.200e-03,-0.28,-0.292
-3.197e-03,-0.3,-0.292
-3.194e-03,-0.3,-0.292
-3.190e-03,-0.3,-0.292
-3.187e-03,-0.32,-0.296
-3.184e-03,-0.34,-0.292
-3.181e-03,-0.34,-0.292
-3.178e-03,-0.34,-0.296
-3.174e-03,-0.34,-0.292
-3.171e-03,-0.36,-0.292
-3.168e-03,-0.36,-0.292
-3.165e-03,-0.38,-0.292
-3.162e-03,-0.38,-0.292
-3.158e-03,-0.42,-0.292
-3.155e-03,-0.4,-0.292
-3.152e-03,-0.42,-0.292
-3.149e-03,-0.42,-0.292
-3.146e-03,-0.44,-0.296
-3.142e-03,-0.44,-0.296
-3.139e-03,-0.46,-0.288
-3.136e-03,-0.46,-0.292
-3.133e-03,-0.46,-0.292
-3.130e-03,-0.48,-0.292
-3.126e-03,-0.48,-0.292
-3.123e-03,-0.5,-0.292
-3.120e-03,-0.5,-0.292
-3.117e-03,-0.52,-0.292
-3.114e-03,-0.54,-0.292
-3.110e-03,-0.54,-0.292
-3.107e-03,-0.54,-0.292
-3.104e-03,-0.54,-0.292
-3.101e-03,-0.56,-0.292
-3.098e-03,-0.56,-0.292
-3.094e-03,-0.58,-0.292
-3.091e-03,-0.58,-0.292
-3.088e-03,-0.58,-0.288
-3.085e-03,-0.6,-0.288
-3.082e-03,-0.6,-0.292
-3.078e-03,-0.62,-0.292
-3.075e-03,-0.62,-0.288
-3.072e-03,-0.64,-0.288
-3.069e-03,-0.64,-0.288
-3.066e-03,-0.66,-0.288
-3.062e-03,-0.66,-0.288
-3.059e-03,-0.68,-0.288
-3.056e-03,-0.7,-0.292
-3.053e-03,-0.68,-0.288
-3.050e-03,-0.7,-0.292
-3.046e-03,-0.7,-0.288
-3.043e-03,-0.7,-0.288
-3.040e-03,-0.74,-0.292
-3.037e-03,-0.74,-0.288
-3.034e-03,-0.74,-0.288
-3.030e-03,-0.74,-0.284
-3.027e-03,-0.76,-0.288
-3.024e-03,-0.76,-0.284
-3.021e-03,-0.78,-0.284
-3.018e-03,-0.78,-0.284
-3.014e-03,-0.8,-0.288
-3.011e-03,-0.8,-0.284
-3.008e-03,-0.82,-0.284
-3.005e-03,-0.82,-0.284
-3.002e-03,-0.84,-0.284
-2.998e-03,-0.84,-0.284
-2.995e-03,-0.84,-0.284
-2.992e-03,-0.86,-0.284
-2.989e-03,-0.86,-0.284
-2.986e-03,-0.88,-0.284
-2.982e-03,-0.88,-0.28
-2.979e-03,-0.9,-0.28
-2.976e-03,-0.9,-0.284
-2.973e-03,-0.9,-0.28
-2.970e-03,-0.9,-0.28
-2.966e-03,-0.92,-0.284
-2.963e-03,-0.92,-0.284
-2.960e-03,-0.94,-0.28
-2.957e-03,-0.96,-0.276
-2.954e-03,-0.96,-0.28
-2.950e-03,-0.96,-0.28
-2.947e-03,-0.96,-0.276
-2.944e-03,-0.98,-0.28
-2.941e-03,-0.98,-0.28
-2.938e-03,-1,-0.276
-2.934e-03,-1,-0.28
-2.931e-03,-1.02,-0.276
-2.928e-03,-1.02,-0.276
-2.925e-03,-1.04,-0.276
-2.922e-03,-1.04,-0.276
-2.918e-03,-1.04,-0.276
-2.915e-03,-1.06,-0.276
-2.912e-03,-1.06,-0.276
-2.909e-03,-1.08,-0.276
-2.906e-03,-1.08,-0.276
-2.902e-03,-1.1,-0.272
-2.899e-03,-1.1,-0.276
-2.896e-03,-1.1,-0.272
-2.893e-03,-1.12,-0.272
-2.890e-03,-1.12,-0.272
-2.886e-03,-1.12,-0.272
-2.883e-03,-1.14,-0.272
-2.880e-03,-1.14,-0.272
-2.877e-03,-1.14,-0.276
-2.874e-03,-1.16,-0.272
-2.870e-03,-1.16,-0.272
-2.867e-03,-1.18,-0.268
-2.864e-03,-1.18,-0.268
-2.861e-03,-1.18,-0.268
-2.858e-03,-1.2,-0.272
-2.854e-03,-1.2,-0.268
-2.851e-03,-1.22,-0.264
-2.848e-03,-1.22,-0.264
-2.845e-03,-1.24,-0.264
-2.842e-03,-1.24,-0.264
-2.838e-03,-1.24,-0.264
-2.835e-03,-1.26,-0.264
-2.832e-03,-1.26,-0.264
-2.829e-03,-1.26,-0.264
-2.826e-03,-1.28,-0.26
-2.822e-03,-1.28,-0.26
-2.819e-03,-1.3,-0.26
-2.816e-03,-1.3,-0.26
-2.813e-03,-1.32,-0.26
-2.810e-03,-1.32,-0.26
-2.806e-03,-1.34,-0.26
-2.803e-03,-1.34,-0.256
-2.800e-03,-1.34,-0.26
-2.797e-03,-1.36,-0.26
-2.794e-03,-1.36,-0.256
-2.790e-03,-1.36,-0.256
-2.787e-03,-1.38,-0.256
-2.784e-03,-1.38,-0.256
-2.781e-03,-1.4,-0.256
-2.778e-03,-1.4,-0.256
-2.774e-03,-1.4,-0.252
-2.771e-03,-1.4,-0.252
-2.768e-03,-1.42,-0.256
