    Finished release [optimized] target(s) in 0.08s
     Running `target/release/rberga06-cltfis-lab1-random`
#dadi:   6
#lanci:  5000000
#volte:  10000
#thread: 20
#totale: 1000000000000
[20/200000|0%]	33492948	40186765	20092162	5358679	802725	64527	2194
[40/200000|0%]	66982081	80373079	40186369	10717450	1607465	129236	4320
[60/200000|0%]	100480366	120555182	60275294	16077198	2411867	193652	6441
[80/200000|0%]	133968413	160746602	80365323	21438102	3215324	257676	8560
[100/200000|0%]	167460450	200927406	100460549	26799746	4019478	321681	10690
[120/200000|0%]	200950728	241114597	120558068	32155742	4822265	385795	12805
[140/200000|0%]	234439167	281310767	140644729	37514445	5626180	449713	14999
[160/200000|0%]	267937010	321490746	160732863	42878781	6429445	514001	17154
[180/200000|0%]	301422866	361680438	180825915	48237770	7234746	578940	19325
[200/200000|0%]	334906483	401865363	200927555	53598211	8037811	643105	21472
[220/200000|0%]	368401293	442058661	221015724	58953502	8840160	707078	23582
[240/200000|0%]	401895375	482246832	241102759	64314255	9643722	771346	25711
[260/200000|0%]	435380943	522436075	261198243	69673989	10446841	836035	27874
[280/200000|0%]	468871899	562625396	281288305	75033625	11250470	900300	30005
[300/200000|0%]	502368506	602811312	301380943	80389304	12053248	964594	32093
[320/200000|0%]	535843309	643009606	321478448	85747342	12858197	1028909	34189
[340/200000|0%]	569340204	683191946	341571264	91103570	13663150	1093536	36330
[360/200000|0%]	602824459	723378095	361669760	96464666	14466353	1158202	38465
[380/200000|0%]	636317859	763556348	381767210	101825426	15270247	1222410	40500
[400/200000|0%]	669809867	803732381	401865702	107187481	16074851	1287132	42586
[420/200000|0%]	703296810	843921595	421961744	112545671	16877755	1351674	44751
[440/200000|0%]	736782624	884108752	442059490	117903375	17682827	1416129	46803
[460/200000|0%]	770281589	924283271	462159016	123261222	18485637	1480333	48932
[480/200000|0%]	803777648	964469304	482249962	128616731	19290666	1544607	51082
[500/200000|0%]	837265800	1004660419	502344819	133973551	20093776	1608389	53246
[520/200000|0%]	870748780	1044846419	522444975	139332836	20899227	1672387	55376
[540/200000|0%]	904240819	1085029595	542542572	144689789	21702867	1736870	57488
[560/200000|0%]	937729428	1125212316	562642881	150047280	22507301	1801241	59553
[580/200000|0%]	971218192	1165398808	582737928	155404393	23313495	1865498	61686
[600/200000|0%]	1004702060	1205585427	602838163	160763316	24117283	1929973	63778
[620/200000|0%]	1038189501	1245773731	622930582	166123176	24923210	1993884	65916
[640/200000|0%]	1071671962	1285975120	643021350	171478710	25726660	2058121	68077
[660/200000|0%]	1105170831	1326162275	663110847	176832589	26530599	2122675	70184
[680/200000|0%]	1138654059	1366347106	683210123	182195517	27333564	2187209	72422
[700/200000|0%]	1172139894	1406538220	703304913	187553114	28137708	2251568	74583
[720/200000|0%]	1205629605	1446725116	723399814	192911088	28942153	2315597	76627
[740/200000|0%]	1239117124	1486913876	743494783	198267997	29747470	2379967	78783
[760/200000|0%]	1272610881	1527103716	763584076	203624092	30551662	2444553	81020
[780/200000|0%]	1306096757	1567291911	783676294	208988097	31354797	2509009	83135
[800/200000|0%]	1339580704	1607486981	803770632	214345379	32157775	2573256	85273
[820/200000|0%]	1373065804	1647680002	823864621	219702124	32962445	2637644	87360
[840/200000|0%]	1406555192	1687872656	843953202	225059601	33767941	2701940	89468
[860/200000|0%]	1440043474	1728061987	864044445	230420785	34571827	2765850	91632
[880/200000|0%]	1473536009	1768249678	884137917	235777568	35375009	2830099	93720
[900/200000|0%]	1507020467	1808436499	904237812	241135556	36179588	2894263	95815
[920/200000|0%]	1540507914	1848624573	924329167	246496839	36984433	2959036	98038
[940/200000|0%]	1574002846	1888800833	944427428	251857418	37787603	3023698	100174
[960/200000|0%]	1607492955	1928985879	964521723	257218331	38590984	3087715	102413
[980/200000|0%]	1640981458	1969179923	984611815	262575665	39394540	3151993	104606
[1000/200000|0%]	1674474787	2009369957	1004699111	267935448	40197879	3216066	106752
[1020/200000|0%]	1707970216	2049559745	1024782924	273296365	41001095	3280796	108859
[1040/200000|0%]	1741467030	2089744928	1044872322	278654740	41804745	3345204	111031
[1060/200000|0%]	1774951559	2129934375	1064968760	284014871	42608029	3409232	113174
[1080/200000|0%]	1808441437	2170120974	1085059298	289377738	43411176	3474077	115300
[1100/200000|0%]	1841923993	2210311791	1105154675	294739631	44214231	3538207	117472
[1120/200000|0%]	1875415179	2250501151	1125246860	300095947	45019324	3601966	119573
[1140/200000|0%]	1908911397	2290681942	1145337980	305457597	45823278	3666068	121738
[1160/200000|0%]	1942401627	2330872065	1165429516	310816342	46625989	3730532	123929
[1180/200000|0%]	1975885024	2371063310	1185525049	316174840	47430719	3794998	126060
[1200/200000|0%]	2009374415	2411252342	1205618092	321532217	48235386	3859414	128134
[1220/200000|0%]	2042860916	2451440871	1225713622	326891935	49038632	3923749	130275
[1240/200000|0%]	2076347735	2491629722	1245811961	332248137	49842060	3988010	132375
[1260/200000|0%]	2109847421	2531814403	1265900170	337604874	50646348	4052203	134581
[1280/200000|0%]	2143338628	2571995317	1285997851	342963176	51451498	4116802	136728
[1300/200000|0%]	2176824808	2612194008	1306087924	348319380	52254233	4180821	138826
[1320/200000|0%]	2210317353	2652385388	1326176182	353677820	53057327	4244953	140977
[1340/200000|0%]	2243802393	2692569331	1346276246	359036238	53863413	4309241	143138
[1360/200000|0%]	2277288681	2732760274	1366369584	364395642	54666964	4373511	145344
[1380/200000|0%]	2310772408	2772960704	1386455481	369754290	55471023	4438633	147461
[1400/200000|0%]	2344256546	2813150003	1406552303	375113017	56275764	4502687	149680
[1420/200000|0%]	2377756393	2853333491	1426645004	380466850	57079375	4567037	151850
[1440/200000|0%]	2411241774	2893519525	1446746071	385825082	57882103	4631415	154030
[1460/200000|0%]	2444733068	2933704976	1466837929	391186209	58685653	4695961	156204
[1480/200000|0%]	2478221282	2973890618	1486935264	396544886	59489472	4760161	158317
[1500/200000|0%]	2511713457	3014076401	1507026433	401906178	60292776	4824283	160472
[1520/200000|0%]	2545207724	3054258653	1527119427	407266565	61096282	4888777	162572
[1540/200000|0%]	2578695856	3094451093	1547214853	412622724	61897487	4953263	164724
[1560/200000|0%]	2612183897	3134638598	1567309621	417982417	62701215	5017282	166970
[1580/200000|0%]	2645671280	3174828270	1587400283	423343965	63505458	5081558	169186
[1600/200000|0%]	2679153404	3215018863	1607500547	428701253	64308697	5145872	171364
[1620/200000|0%]	2712646111	3255210146	1627592537	434054898	65112389	5210419	173500
[1640/200000|0%]	2746132316	3295401977	1647684626	439415496	65915528	5274409	175648
[1660/200000|0%]	2779625287	3335590883	1667773714	444773200	66720370	5338708	177838
[1680/200000|0%]	2813113041	3375780834	1687865573	450133270	67524398	5402884	180000
[1700/200000|0%]	2846614622	3415962561	1707956122	455490369	68326972	5467229	182125
[1720/200000|0%]	2880097056	3456158376	1728046774	460851423	69130647	5531499	184225
[1740/200000|0%]	2913588949	3496339706	1748142742	466211854	69934338	5596167	186244
[1760/200000|0%]	2947080746	3536525996	1768238116	471568392	70737952	5660448	188350
[1780/200000|0%]	2980564727	3576717577	1788335493	476924968	71541619	5725085	190531
[1800/200000|0%]	3014056701	3616906337	1808426235	482283222	72345159	5789691	192655
[1820/200000|0%]	3047545455	3657100245	1828518001	487638452	73149090	5853899	194858
[1840/200000|0%]	3081033600	3697288156	1848611182	492999794	73951505	5918755	197008
[1860/200000|0%]	3114515197	3737479286	1868707685	498360504	74755504	5982655	199169
[1880/200000|0%]	3147999904	3777670670	1888801923	503718578	75560805	6046792	201328
[1900/200000|0%]	3181492242	3817857992	1908895296	509076063	76363802	6111142	203463
[1920/200000|0%]	3214977436	3858049910	1928990667	514433374	77167232	6175789	205592
[1940/200000|0%]	3248468618	3898239748	1949082886	519791077	77969766	6240200	207705
[1960/200000|0%]	3281960806	3938427819	1969173785	525149158	78774818	6303803	209811
[1980/200000|0%]	3315451567	3978607204	1989275268	530507337	79579389	6367241	211994
[2000/200000|1%]	3348941159	4018800850	2009369039	535861382	80382112	6431324	214134
[2020/200000|1%]	3382433460	4058986950	2029462290	541219717	81185616	6495678	216289
[2040/200000|1%]	3415925825	4099174002	2049556160	546574827	81990686	6559991	218509
[2060/200000|1%]	3449410717	4139361777	2069656106	551933152	82793565	6623999	220684
[2080/200000|1%]	3482902589	4179550970	2089742997	557294751	83597593	6688168	222932
[2100/200000|1%]	3516388676	4219745873	2109832904	562654485	84400731	6752324	225007
[2120/200000|1%]	3549890576	4259925424	2129927501	568009551	85202961	6816847	227140
[2140/200000|1%]	3583384816	4300102568	2150027088	573367154	86007869	6881304	229201
[2160/200000|1%]	3616875444	4340293452	2170115787	578726701	86811428	6945866	231322
[2180/200000|1%]	3650370179	4380473079	2190215067	584082502	87615365	7010381	233427
[2200/200000|1%]	3683862992	4420669132	2210297112	589441210	88419333	7074626	235595
[2220/200000|1%]	3717361756	4460848964	2230390652	594799637	89222329	7138835	237827
[2240/200000|1%]	3750846925	4501044444	2250483790	600155989	90025488	7203349	240015
[2260/200000|1%]	3784336778	4541237710	2270573507	605513311	90828696	7267849	242149
[2280/200000|1%]	3817821548	4581430511	2290665447	610873422	91632937	7331805	244330
[2300/200000|1%]	3851308262	4621617478	2310760035	616235461	92436598	7395680	246486
[2320/200000|1%]	3884802896	4661802479	2330851473	621594174	93240325	7460039	248614
[2340/200000|1%]	3918293944	4701991662	2350940796	626954163	94044122	7524579	250734
[2360/200000|1%]	3951778825	4742186595	2371033475	632311921	94847572	7588798	252814
[2380/200000|1%]	3985268179	4782370054	2391130209	637672724	95650901	7653000	254933
[2400/200000|1%]	4018754952	4822556324	2411221865	643036678	96455656	7717432	257093
[2420/200000|1%]	4052252017	4862738107	2431315341	648395316	97258263	7781780	259176
[2440/200000|1%]	4085739259	4902929675	2451406408	653755053	98062231	7846122	261252
[2460/200000|1%]	4119238667	4943117254	2471494298	659110720	98865583	7910019	263459
[2480/200000|1%]	4152734604	4983298768	2491592193	664465212	99669526	7974113	265584
[2500/200000|1%]	4186216123	5023490031	2511687152	669826972	100473880	8038131	267711
[2520/200000|1%]	4219699511	5063676650	2531785035	675188292	101278187	8102513	269812
[2540/200000|1%]	4253193908	5103869313	2551871936	680544499	102080833	8167580	271931
[2560/200000|1%]	4286688737	5144055757	2571963752	685901780	102884184	8231672	274118
[2580/200000|1%]	4320184066	5184244263	2592051326	691259449	103688756	8295895	276245
[2600/200000|1%]	4353680447	5224431264	2612143453	696615149	104491434	8359803	278450
[2620/200000|1%]	4387164734	5264616022	2632246309	701973149	105294879	8424312	280595
[2640/200000|1%]	4420654534	5304802556	2652339893	707332791	106098394	8489064	282768
[2660/200000|1%]	4454144360	5344995388	2672429259	712690145	106902575	8553388	284885
[2680/200000|1%]	4487631751	5385179850	2692531679	718046173	107705587	8617932	287028
[2700/200000|1%]	4521132228	5425364850	2712618390	723401889	108511076	8682332	289235
[2720/200000|1%]	4554618533	5465557648	2732711199	728760024	109314584	8746677	291335
[2740/200000|1%]	4588112543	5505742151	2752804917	734118623	110117855	8810478	293433
[2760/200000|1%]	4621611300	5545925216	2772893467	739476956	110922283	8875199	295579
[2780/200000|1%]	4655090553	5586125918	2792983124	744835499	111727003	8940199	297704
[2800/200000|1%]	4688582460	5626308302	2813077940	750195503	112531615	9004339	299841
[2820/200000|1%]	4722067893	5666498866	2833173108	755554368	113335078	9068728	301959
[2840/200000|1%]	4755549590	5706694213	2853266307	760915660	114136973	9133178	304079
[2860/200000|1%]	4789043396	5746872856	2873366509	766273783	114939918	9197350	306188
[2880/200000|1%]	4822532065	5787063226	2893461017	771630880	115743348	9261155	308309
[2900/200000|1%]	4856015485	5827260984	2913550373	776990572	116547014	9325138	310434
[2920/200000|1%]	4889507647	5867450936	2933638172	782349929	117351369	9389436	312511
[2940/200000|1%]	4922991478	5907642619	2953730018	787711664	118155300	9454252	314669
[2960/200000|1%]	4956489723	5947826932	2973816510	793072363	118959377	9518327	316768
[2980/200000|1%]	4989978469	5988010146	2993910822	798434929	119763690	9582954	318990
[3000/200000|1%]	5023476883	6028192630	3014003424	803790161	120568344	9647482	321076
[3020/200000|1%]	5056961983	6068389223	3034092884	809148149	121372530	9712000	323231
[3040/200000|1%]	5090450371	6108572727	3054190105	814507920	122177166	9776342	325369
[3060/200000|1%]	5123933597	6148767462	3074286247	819863531	122980845	9840803	327515
[3080/200000|1%]	5157426655	6188956521	3094379680	825218749	123783884	9904826	329685
[3100/200000|1%]	5190917873	6229146840	3114471180	830575166	124587988	9969023	331930
[3120/200000|1%]	5224402205	6269335569	3134568117	835935462	125390942	10033619	334086
[3140/200000|1%]	5257896203	6309521800	3154661488	841292529	126193619	10098123	336238
[3160/200000|1%]	5291388554	6349707618	3174755626	846650244	126997272	10162389	338297
[3180/200000|1%]	5324886112	6389890535	3194843546	852010449	127801862	10227037	340459
[3200/200000|1%]	5358380084	6430079279	3214935487	857365308	128605715	10291564	342563
[3220/200000|1%]	5391869654	6470272330	3235024128	862723826	129409718	10355653	344691
[3240/200000|1%]	5425348677	6510465081	3255123069	868081873	130214219	10420292	346789
[3260/200000|1%]	5458837218	6550649291	3275220343	873440629	131019094	10484448	348977
[3280/200000|1%]	5492328126	6590838153	3295315339	878794135	131824145	10548990	351112
[3300/200000|1%]	5525820117	6631027771	3315407454	884149900	132628023	10613510	353225
[3320/200000|1%]	5559311286	6671214473	3335500857	889507827	133431827	10678414	355316
[3340/200000|1%]	5592800401	6711403973	3355588867	894870704	134235798	10742694	357563
[3360/200000|1%]	5626289459	6751596877	3375681031	900226431	135039867	10806679	359656
[3380/200000|1%]	5659782335	6791779989	3395776621	905584412	135843947	10870916	361780
[3400/200000|1%]	5693268204	6831973489	3415869141	910941139	136648801	10935340	363886
[3420/200000|1%]	5726757259	6872161047	3435964833	916298888	137451561	11000381	366031
[3440/200000|1%]	5760244358	6912358435	3456055959	921653639	138255287	11064155	368167
[3460/200000|1%]	5793737109	6952539111	3476150212	927014256	139060314	11128718	370280
[3480/200000|1%]	5827225343	6992722415	3496244476	932376772	139865430	11193114	372450
[3500/200000|1%]	5860714342	7032912946	3516338855	937734127	140667659	11257455	374616
[3520/200000|1%]	5894199945	7073106016	3536430053	943093165	141472336	11321710	376775
[3540/200000|1%]	5927684701	7113297895	3556523849	948453863	142274610	11386108	378974
[3560/200000|1%]	5961173529	7153484121	3576621260	953811030	143078856	11450080	381124
[3580/200000|1%]	5994659592	7193675124	3596714728	959170573	143882765	11513984	383234
[3600/200000|1%]	6028152287	7233864137	3616802886	964530820	144686090	11578337	385443
[3620/200000|1%]	6061641106	7274054529	3636899018	969886939	145488066	11642705	387637
[3640/200000|1%]	6095126644	7314250861	3656991116	975244677	146290023	11706900	389779
[3660/200000|1%]	6128614513	7354437428	3677086821	980605666	147092891	11770798	391883
[3680/200000|1%]	6162103597	7394623165	3697185411	985962255	147896386	11835097	394089
[3700/200000|1%]	6195598110	7434809475	3717278045	991319072	148699611	11899389	396298
[3720/200000|1%]	6229090211	7474989215	3737378500	996674880	149504779	11963943	398472
[3740/200000|1%]	6262577737	7515180696	3757466626	1002036716	150309714	12027869	400642
[3760/200000|1%]	6296064610	7555370299	3777560972	1007396802	151112798	12091660	402859
[3780/200000|1%]	6329547260	7595559057	3797663091	1012751949	151917496	12156110	405037
[3800/200000|1%]	6363040231	7635746686	3817754017	1018110550	152721109	12220234	407173
[3820/200000|1%]	6396533058	7675935282	3837842380	1023470999	153524503	12284475	409303
[3840/200000|1%]	6430014997	7716129698	3857935941	1028831167	154328666	12348191	411340
[3860/200000|1%]	6463508240	7756312843	3878029291	1034190358	155132801	12412990	413477
[3880/200000|1%]	6497000154	7796501826	3898119685	1039549797	155935647	12477248	415643
[3900/200000|1%]	6530485582	7836689515	3918218740	1044907450	156739177	12541747	417789
[3920/200000|1%]	6563981798	7876883349	3938305315	1050261565	157542166	12605919	419888
[3940/200000|1%]	6597473507	7917074421	3958395276	1055618105	158346361	12670293	422037
[3960/200000|1%]	6630952207	7957264895	3978493215	1060978344	159152579	12734572	424188
[3980/200000|1%]	6664435626	7997455968	3998589359	1066337211	159956135	12799387	426314
[4000/200000|2%]	6697923758	8037641229	4018684646	1071697918	160760429	12863596	428424
[4020/200000|2%]	6731409264	8077833139	4038777831	1077056870	161564312	12928075	430509
[4040/200000|2%]	6764902384	8118012615	4058875478	1082415849	162368522	12992565	432587
[4060/200000|2%]	6798381745	8158210522	4078972439	1087770574	163173272	13056681	434767
[4080/200000|2%]	6831870334	8198399243	4099064225	1093131913	163976715	13120645	436925
[4100/200000|2%]	6865358119	8238583625	4119159048	1098493172	164782108	13184833	439095
[4120/200000|2%]	6898852965	8278774284	4139246208	1103850137	165586167	13248970	441269
[4140/200000|2%]	6932347654	8318958718	4159339021	1109208283	166389224	13313647	443453
[4160/200000|2%]	6965838092	8359148817	4179426807	1114570044	167193362	13377373	445505
[4180/200000|2%]	6999332629	8399338097	4199516738	1119928147	167995033	13441748	447608
[4200/200000|2%]	7032811580	8439527134	4219618059	1125288828	168798391	13506223	449785
[4220/200000|2%]	7066298704	8479714024	4239717138	1130645165	169602850	13570222	451897
[4240/200000|2%]	7099790571	8519898691	4259813828	1136000787	170407247	13634844	454032
[4260/200000|2%]	7133286381	8560078073	4279912257	1141357267	171210749	13699073	456200
[4280/200000|2%]	7166785580	8600260295	4300003736	1146715766	172013321	13762995	458307
[4300/200000|2%]	7200276613	8640447914	4320097379	1152073565	172816963	13827187	460379
[4320/200000|2%]	7233765133	8680634953	4340188592	1157436123	173621359	13891289	462551
[4340/200000|2%]	7267248996	8720832718	4360278906	1162793481	174425737	13955456	464706
[4360/200000|2%]	7300732923	8761025025	4380372937	1168154111	175228465	14019645	466894
[4380/200000|2%]	7334220247	8801211661	4400470226	1173512461	176032576	14083781	469048
[4400/200000|2%]	7367714738	8841398536	4420562834	1178867670	176836923	14148185	471114
[4420/200000|2%]	7401206194	8881585869	4440652355	1184229028	177641141	14212188	473225
[4440/200000|2%]	7434695233	8921769753	4460751663	1189587082	178444086	14276792	475391
[4460/200000|2%]	7468193369	8961957843	4480836687	1194946132	179247764	14340631	477574
[4480/200000|2%]	7501684488	9002146748	4500931793	1200302020	180050663	14404576	479712
[4500/200000|2%]	7535184073	9042332271	4521015913	1205662659	180854551	14468692	481841
[4520/200000|2%]	7568675643	9082523605	4541105158	1211018305	181660010	14533167	484112
[4540/200000|2%]	7602169846	9122709983	4561199403	1216373400	182463152	14597964	486252
[4560/200000|2%]	7635662112	9162894188	4581297503	1221729139	183266476	14662166	488416
[4580/200000|2%]	7669147482	9203085543	4601393064	1227085838	184070868	14726622	490583
[4600/200000|2%]	7702633580	9243271377	4621491071	1232445131	184875663	14790498	492680
[4620/200000|2%]	7736123850	9283457317	4641586821	1237803113	185679177	14854911	494811
[4640/200000|2%]	7769620224	9323633351	4661686360	1243160837	186483016	14919296	496916
[4660/200000|2%]	7803113392	9363825523	4681773153	1248518549	187286329	14983988	499066
[4680/200000|2%]	7836599914	9404014290	4701866643	1253879203	188090747	15048028	501175
[4700/200000|2%]	7870084265	9444203599	4721964418	1259237693	188894244	15112402	503379
[4720/200000|2%]	7903570113	9484389908	4742063231	1264595986	189698534	15176680	505548
[4740/200000|2%]	7937061117	9524577197	4762156309	1269954414	190502329	15240951	507683
[4760/200000|2%]	7970546320	9564767219	4782256381	1275308510	191306817	15304915	509838
[4780/200000|2%]	8004024017	9604961560	4802352777	1280669807	192110859	15368947	512033
[4800/200000|2%]	8037519397	9645150611	4822441316	1286025763	192915624	15433103	514186
[4820/200000|2%]	8071008472	9685342317	4842531825	1291382776	193720720	15497547	516343
[4840/200000|2%]	8104497809	9725530494	4862622649	1296742738	194525599	15562145	518566
[4860/200000|2%]	8137992341	9765720428	4882711533	1302098601	195329803	15626611	520683
[4880/200000|2%]	8171484053	9805906302	4902808634	1307455360	196132081	15690748	522822
[4900/200000|2%]	8204976863	9846088904	4922907280	1312812032	196934967	15754918	525036
[4920/200000|2%]	8238461596	9886281776	4943003339	1318169058	197738069	15818989	527173
[4940/200000|2%]	8271952622	9926469366	4963096374	1323527345	198541536	15883519	529238
