Model,TBS1102C,
-1.163e-01,-1.98,-0.012
-1.162e-01,-1.98,-0.0148
-1.160e-01,-2.02,-0.0132
-1.158e-01,-2.02,-0.012
-1.157e-01,-2.06,-0.0148
-1.155e-01,-2.08,-0.0116
-1.154e-01,-2.1,-0.0128
-1.152e-01,-2.12,-0.012
-1.150e-01,-2.12,-0.0116
-1.149e-01,-2.16,-0.0096
-1.147e-01,-2.16,-0.0084
-1.146e-01,-2.18,-0.0084
-1.144e-01,-2.2,-0.01
-1.142e-01,-2.2,-0.01
-1.141e-01,-2.22,-0.0092
-1.139e-01,-2.24,-0.0076
-1.138e-01,-2.24,-0.008
-1.136e-01,-2.26,-0.0068
-1.134e-01,-2.26,-0.0056
-1.133e-01,-2.26,-0.004
-1.131e-01,-2.28,-0.0056
-1.130e-01,-2.28,-0.0048
-1.128e-01,-2.3,-0.0032
-1.126e-01,-2.3,-0.004
-1.125e-01,-2.32,-0.0032
-1.123e-01,-2.3,-0.0012
-1.122e-01,-2.3,-0.0008
-1.120e-01,-2.32,0.0012
-1.118e-01,-2.3,0.0024
-1.117e-01,-2.3,0.0028
-1.115e-01,-2.3,0.0044
-1.114e-01,-2.3,0.004
-1.112e-01,-2.28,0.0048
-1.110e-01,-2.28,0.0048
-1.109e-01,-2.28,0.0056
-1.107e-01,-2.26,0.0064
-1.106e-01,-2.24,0.0068
-1.104e-01,-2.24,0.0064
-1.102e-01,-2.24,0.0076
-1.101e-01,-2.22,0.0072
-1.099e-01,-2.2,0.0092
-1.098e-01,-2.2,0.0084
-1.096e-01,-2.16,0.0116
-1.094e-01,-2.16,0.01
-1.093e-01,-2.14,0.0112
-1.091e-01,-2.12,0.0112
-1.090e-01,-2.1,0.0124
-1.088e-01,-2.1,0.0124
-1.086e-01,-2.06,0.0128
-1.085e-01,-2.06,0.0124
-1.083e-01,-2.02,0.0148
-1.082e-01,-2,0.014
-1.080e-01,-1.98,0.0144
-1.078e-01,-1.96,0.0176
-1.077e-01,-1.96,0.014
-1.075e-01,-1.9,0.0188
-1.074e-01,-1.88,0.0172
-1.072e-01,-1.86,0.0168
-1.070e-01,-1.84,0.0172
-1.069e-01,-1.8,0.018
-1.067e-01,-1.78,0.0196
-1.066e-01,-1.76,0.018
-1.064e-01,-1.74,0.0192
-1.062e-01,-1.68,0.0176
-1.061e-01,-1.66,0.02
-1.059e-01,-1.62,0.0252
-1.058e-01,-1.6,0.0224
-1.056e-01,-1.56,0.0224
-1.054e-01,-1.54,0.022
-1.053e-01,-1.5,0.0208
-1.051e-01,-1.46,0.0224
-1.050e-01,-1.42,0.0248
-1.048e-01,-1.38,0.024
-1.046e-01,-1.34,0.0224
-1.045e-01,-1.32,0.0256
-1.043e-01,-1.26,0.0252
-1.042e-01,-1.22,0.0256
-1.040e-01,-1.18,0.0256
-1.038e-01,-1.16,0.0248
-1.037e-01,-1.1,0.0272
-1.035e-01,-1.08,0.0268
-1.034e-01,-1.02,0.0288
-1.032e-01,-0.98,0.0288
-1.030e-01,-0.94,0.0284
-1.029e-01,-0.9,0.0272
-1.027e-01,-0.86,0.028
-1.026e-01,-0.8,0.0288
-1.024e-01,-0.78,0.0276
-1.022e-01,-0.72,0.0296
-1.021e-01,-0.68,0.0292
-1.019e-01,-0.66,0.0284
-1.018e-01,-0.6,0.03
-1.016e-01,-0.56,0.0292
-1.014e-01,-0.52,0.0288
-1.013e-01,-0.46,0.03
-1.011e-01,-0.42,0.0292
-1.010e-01,-0.38,0.03
-1.008e-01,-0.32,0.03
-1.006e-01,-0.28,0.0316
-1.005e-01,-0.26,0.03
-1.003e-01,-0.2,0.0296
-1.002e-01,-0.16,0.0308
-1.000e-01,-0.1,0.0272
-9.984e-02,-0.06,0.03
-9.968e-02,-0.02,0.03
-9.952e-02,0.02,0.0308
-9.936e-02,0.06,0.0288
-9.920e-02,0.1,0.0332
-9.904e-02,0.16,0.0308
-9.888e-02,0.2,0.0296
-9.872e-02,0.24,0.0304
-9.856e-02,0.3,0.0308
-9.840e-02,0.34,0.03
-9.824e-02,0.38,0.0292
-9.808e-02,0.44,0.0284
-9.792e-02,0.48,0.03
-9.776e-02,0.5,0.0296
-9.760e-02,0.56,0.0296
-9.744e-02,0.6,0.0284
-9.728e-02,0.64,0.0288
-9.712e-02,0.68,0.028
-9.696e-02,0.72,0.0276
-9.680e-02,0.8,0.03
-9.664e-02,0.82,0.0292
-9.648e-02,0.88,0.0284
-9.632e-02,0.92,0.028
-9.616e-02,0.94,0.0272
-9.600e-02,0.98,0.0272
-9.584e-02,1.02,0.028
-9.568e-02,1.08,0.0292
-9.552e-02,1.12,0.0232
-9.536e-02,1.16,0.0276
-9.520e-02,1.2,0.026
-9.504e-02,1.24,0.0256
-9.488e-02,1.28,0.0276
-9.472e-02,1.3,0.0252
-9.456e-02,1.36,0.0268
-9.440e-02,1.38,0.0244
-9.424e-02,1.44,0.0212
-9.408e-02,1.46,0.024
-9.392e-02,1.5,0.0228
-9.376e-02,1.52,0.0232
-9.360e-02,1.56,0.024
-9.344e-02,1.6,0.0248
-9.328e-02,1.64,0.0216
-9.312e-02,1.66,0.0216
-9.296e-02,1.7,0.0212
-9.280e-02,1.72,0.02
-9.264e-02,1.76,0.02
-9.248e-02,1.78,0.0196
-9.232e-02,1.8,0.0192
-9.216e-02,1.84,0.018
-9.200e-02,1.86,0.0176
-9.184e-02,1.9,0.0172
-9.168e-02,1.92,0.0164
-9.152e-02,1.94,0.0176
-9.136e-02,1.98,0.0168
-9.120e-02,2,0.0152
-9.104e-02,2.02,0.0148
-9.088e-02,2.04,0.0132
-9.072e-02,2.06,0.0144
-9.056e-02,2.08,0.0132
-9.040e-02,2.1,0.0136
-9.024e-02,2.12,0.0124
-9.008e-02,2.12,0.0116
-8.992e-02,2.14,0.0112
-8.976e-02,2.16,0.0132
-8.960e-02,2.18,0.0084
-8.944e-02,2.2,0.01
-8.928e-02,2.22,0.0092
-8.912e-02,2.22,0.0084
-8.896e-02,2.22,0.006
-8.880e-02,2.24,0.0076
-8.864e-02,2.26,0.0068
-8.848e-02,2.28,0.0056
-8.832e-02,2.28,0.0056
-8.816e-02,2.28,0.0064
-8.800e-02,2.3,0.0048
-8.784e-02,2.3,0.0036
-8.768e-02,2.3,0.002
-8.752e-02,2.3,0.0024
-8.736e-02,2.3,0.0032
-8.720e-02,2.3,0.0008
-8.704e-02,2.32,0.0008
-8.688e-02,2.32,0.0012
-8.672e-02,2.3,0.0004
-8.656e-02,2.32,0
-8.640e-02,2.32,-0.0032
-8.624e-02,2.3,-0.0028
-8.608e-02,2.3,-0.0036
-8.592e-02,2.28,-0.0044
-8.576e-02,2.28,-0.0048
-8.560e-02,2.26,-0.006
-8.544e-02,2.26,-0.0068
-8.528e-02,2.24,-0.0052
-8.512e-02,2.24,-0.0048
-8.496e-02,2.22,-0.008
-8.480e-02,2.2,-0.008
-8.464e-02,2.2,-0.0116
-8.448e-02,2.18,-0.0092
-8.432e-02,2.16,-0.0108
-8.416e-02,2.14,-0.0092
-8.400e-02,2.14,-0.0104
-8.384e-02,2.12,-0.012
-8.368e-02,2.1,-0.0128
-8.352e-02,2.08,-0.012
-8.336e-02,2.06,-0.0132
-8.320e-02,2.04,-0.0188
-8.304e-02,2.02,-0.014
-8.288e-02,2,-0.016
-8.272e-02,1.98,-0.0152
-8.256e-02,1.94,-0.0152
-8.240e-02,1.92,-0.0168
-8.224e-02,1.88,-0.0164
-8.208e-02,1.86,-0.0184
-8.192e-02,1.84,-0.0184
-8.176e-02,1.82,-0.0184
-8.160e-02,1.78,-0.018
-8.144e-02,1.74,-0.0184
-8.128e-02,1.72,-0.0196
-8.112e-02,1.7,-0.0204
-8.096e-02,1.66,-0.02
-8.080e-02,1.62,-0.0212
-8.064e-02,1.6,-0.0212
-8.048e-02,1.56,-0.022
-8.032e-02,1.52,-0.0268
-8.016e-02,1.5,-0.0216
-8.000e-02,1.46,-0.0248
-7.984e-02,1.42,-0.0228
-7.968e-02,1.38,-0.024
-7.952e-02,1.34,-0.0244
-7.936e-02,1.3,-0.0248
-7.920e-02,1.26,-0.0252
-7.904e-02,1.22,-0.026
-7.888e-02,1.18,-0.026
-7.872e-02,1.14,-0.026
-7.856e-02,1.12,-0.0252
-7.840e-02,1.06,-0.0268
-7.824e-02,1.02,-0.0268
-7.808e-02,0.98,-0.026
-7.792e-02,0.94,-0.0276
-7.776e-02,0.9,-0.0288
-7.760e-02,0.86,-0.0276
-7.744e-02,0.8,-0.028
-7.728e-02,0.78,-0.0284
-7.712e-02,0.72,-0.0268
-7.696e-02,0.68,-0.0288
-7.680e-02,0.64,-0.0292
-7.664e-02,0.6,-0.0292
-7.648e-02,0.54,-0.03
-7.632e-02,0.5,-0.03
-7.616e-02,0.46,-0.0308
-7.600e-02,0.4,-0.0288
-7.584e-02,0.36,-0.0272
-7.568e-02,0.32,-0.03
-7.552e-02,0.28,-0.0316
-7.536e-02,0.22,-0.0308
-7.520e-02,0.18,-0.0288
-7.504e-02,0.14,-0.0284
-7.488e-02,0.08,-0.0296
-7.472e-02,0.04,-0.03
-7.456e-02,0,-0.03
-7.440e-02,-0.04,-0.0284
-7.424e-02,-0.08,-0.0316
-7.408e-02,-0.12,-0.0304
-7.392e-02,-0.16,-0.0284
-7.376e-02,-0.22,-0.0284
-7.360e-02,-0.28,-0.03
-7.344e-02,-0.3,-0.0304
-7.328e-02,-0.38,-0.0304
-7.312e-02,-0.42,-0.0284
-7.296e-02,-0.44,-0.0296
-7.280e-02,-0.48,-0.0308
-7.264e-02,-0.54,-0.0288
-7.248e-02,-0.58,-0.028
-7.232e-02,-0.62,-0.0276
-7.216e-02,-0.66,-0.0288
-7.200e-02,-0.7,-0.0292
-7.184e-02,-0.76,-0.0284
-7.168e-02,-0.8,-0.0292
-7.152e-02,-0.84,-0.0276
-7.136e-02,-0.88,-0.0284
-7.120e-02,-0.92,-0.028
-7.104e-02,-0.98,-0.0296
-7.088e-02,-1,-0.0276
-7.072e-02,-1.06,-0.0272
-7.056e-02,-1.08,-0.0256
-7.040e-02,-1.12,-0.0268
-7.024e-02,-1.16,-0.0248
-7.008e-02,-1.2,-0.0236
-6.992e-02,-1.26,-0.0264
-6.976e-02,-1.28,-0.0248
-6.960e-02,-1.32,-0.0248
-6.944e-02,-1.36,-0.0248
-6.928e-02,-1.4,-0.024
-6.912e-02,-1.44,-0.024
-6.896e-02,-1.48,-0.0236
-6.880e-02,-1.52,-0.0224
-6.864e-02,-1.54,-0.0232
-6.848e-02,-1.58,-0.0204
-6.832e-02,-1.62,-0.0216
-6.816e-02,-1.64,-0.0208
-6.800e-02,-1.68,-0.022
-6.784e-02,-1.72,-0.0196
-6.768e-02,-1.76,-0.022
-6.752e-02,-1.76,-0.0192
-6.736e-02,-1.82,-0.0184
-6.720e-02,-1.82,-0.0172
-6.704e-02,-1.86,-0.0172
-6.688e-02,-1.88,-0.0172
-6.672e-02,-1.92,-0.018
-6.656e-02,-1.92,-0.0152
-6.640e-02,-1.96,-0.0164
-6.624e-02,-1.98,-0.0212
-6.608e-02,-2,-0.0156
-6.592e-02,-2.02,-0.012
-6.576e-02,-2.04,-0.0144
-6.560e-02,-2.06,-0.0132
-6.544e-02,-2.1,-0.014
-6.528e-02,-2.12,-0.0116
-6.512e-02,-2.12,-0.0116
-6.496e-02,-2.14,-0.0108
-6.480e-02,-2.16,-0.01
-6.464e-02,-2.18,-0.0096
-6.448e-02,-2.2,-0.0104
-6.432e-02,-2.2,-0.0096
-6.416e-02,-2.2,-0.0072
-6.400e-02,-2.22,-0.0072
-6.384e-02,-2.24,-0.008
-6.368e-02,-2.26,-0.0084
-6.352e-02,-2.26,-0.008
-6.336e-02,-2.28,-0.0064
-6.320e-02,-2.28,-0.0052
-6.304e-02,-2.28,-0.0048
-6.288e-02,-2.3,-0.0044
-6.272e-02,-2.3,-0.004
-6.256e-02,-2.3,-0.0024
-6.240e-02,-2.3,-0.002
-6.224e-02,-2.32,-0.002
-6.208e-02,-2.3,-0.0004
-6.192e-02,-2.3,0.0012
-6.176e-02,-2.3,0.0012
-6.160e-02,-2.3,0.0028
-6.144e-02,-2.3,0.0036
-6.128e-02,-2.3,0.004
-6.112e-02,-2.3,0.0044
-6.096e-02,-2.28,0.0056
-6.080e-02,-2.26,0.0052
-6.064e-02,-2.26,0.006
-6.048e-02,-2.24,0.008
-6.032e-02,-2.24,0.0068
-6.016e-02,-2.22,0.0096
-6.000e-02,-2.22,0.0044
-5.984e-02,-2.2,0.0088
-5.968e-02,-2.18,0.0084
-5.952e-02,-2.18,0.0092
-5.936e-02,-2.16,0.0092
-5.920e-02,-2.14,0.0112
-5.904e-02,-2.12,0.0104
-5.888e-02,-2.1,0.0108
-5.872e-02,-2.08,0.012
-5.856e-02,-2.06,0.0128
-5.840e-02,-2.04,0.0108
-5.824e-02,-2.02,0.0136
-5.808e-02,-2,0.014
-5.792e-02,-1.98,0.0144
-5.776e-02,-1.96,0.0148
-5.760e-02,-1.92,0.016
-5.744e-02,-1.9,0.0168
-5.728e-02,-1.86,0.018
-5.712e-02,-1.84,0.0188
-5.696e-02,-1.82,0.0164
-5.680e-02,-1.78,0.0212
-5.664e-02,-1.76,0.0172
-5.648e-02,-1.74,0.0188
-5.632e-02,-1.7,0.0204
-5.616e-02,-1.68,0.0196
-5.600e-02,-1.64,0.0208
-5.584e-02,-1.62,0.02
-5.568e-02,-1.58,0.0216
-5.552e-02,-1.56,0.02
-5.536e-02,-1.52,0.0224
-5.520e-02,-1.48,0.0232
-5.504e-02,-1.44,0.024
-5.488e-02,-1.42,0.0224
-5.472e-02,-1.36,0.0236
-5.456e-02,-1.34,0.0228
-5.440e-02,-1.28,0.0236
-5.424e-02,-1.24,0.0232
-5.408e-02,-1.22,0.0248
-5.392e-02,-1.18,0.0256
-5.376e-02,-1.12,0.0276
-5.360e-02,-1.1,0.024
-5.344e-02,-1.06,0.0268
-5.328e-02,-1.02,0.0264
-5.312e-02,-0.96,0.026
-5.296e-02,-0.92,0.0268
-5.280e-02,-0.88,0.028
-5.264e-02,-0.84,0.0268
-5.248e-02,-0.8,0.028
-5.232e-02,-0.78,0.0276
-5.216e-02,-0.72,0.0276
-5.200e-02,-0.66,0.03
-5.184e-02,-0.62,0.028
-5.168e-02,-0.58,0.0304
-5.152e-02,-0.54,0.0292
-5.136e-02,-0.5,0.0296
-5.120e-02,-0.44,0.03
-5.104e-02,-0.4,0.03
-5.088e-02,-0.36,0.03
-5.072e-02,-0.3,0.0308
-5.056e-02,-0.28,0.0284
-5.040e-02,-0.22,0.0296
-5.024e-02,-0.2,0.0304
-5.008e-02,-0.14,0.0308
-4.992e-02,-0.08,0.0288
-4.976e-02,-0.04,0.0304
-4.960e-02,-0.02,0.03
-4.944e-02,0.04,0.0312
-4.928e-02,0.08,0.0304
-4.912e-02,0.12,0.0308
-4.896e-02,0.18,0.0308
-4.880e-02,0.24,0.03
-4.864e-02,0.26,0.03
-4.848e-02,0.3,0.0304
-4.832e-02,0.36,0.0304
-4.816e-02,0.38,0.0292
-4.800e-02,0.44,0.0288
-4.784e-02,0.48,0.0292
-4.768e-02,0.54,0.0296
-4.752e-02,0.58,0.0248
-4.736e-02,0.62,0.0292
-4.720e-02,0.66,0.0296
-4.704e-02,0.7,0.022
-4.688e-02,0.76,0.0284
-4.672e-02,0.8,0.0292
-4.656e-02,0.84,0.0288
-4.640e-02,0.88,0.0276
-4.624e-02,0.94,0.0292
-4.608e-02,0.96,0.0228
-4.592e-02,1,0.0268
-4.576e-02,1.06,0.024
-4.560e-02,1.1,0.0276
-4.544e-02,1.14,0.026
-4.528e-02,1.18,0.0232
-4.512e-02,1.2,0.024
-4.496e-02,1.24,0.0276
-4.480e-02,1.28,0.0232
-4.464e-02,1.32,0.0252
-4.448e-02,1.36,0.0292
-4.432e-02,1.4,0.0252
-4.416e-02,1.44,0.0252
-4.400e-02,1.48,0.0224
-4.384e-02,1.52,0.02
-4.368e-02,1.54,0.0228
-4.352e-02,1.58,0.0208
-4.336e-02,1.62,0.022
-4.320e-02,1.64,0.0224
-4.304e-02,1.68,0.0212
-4.288e-02,1.7,0.0208
-4.272e-02,1.74,0.02
-4.256e-02,1.76,0.0192
-4.240e-02,1.8,0.0184
-4.224e-02,1.82,0.0188
-4.208e-02,1.86,0.0188
-4.192e-02,1.88,0.018
-4.176e-02,1.9,0.0172
-4.160e-02,1.94,0.0168
-4.144e-02,1.94,0.0132
-4.128e-02,1.98,0.016
-4.112e-02,2,0.022
-4.096e-02,2.04,0.0148
-4.080e-02,2.04,0.0148
-4.064e-02,2.08,0.0124
-4.048e-02,2.08,0.0096
-4.032e-02,2.1,0.0128
-4.016e-02,2.12,0.0112
-4.000e-02,2.14,0.0124
-3.984e-02,2.18,0.01
-3.968e-02,2.18,0.01
-3.952e-02,2.18,0.0072
-3.936e-02,2.2,0.0104
-3.920e-02,2.22,0.0072
-3.904e-02,2.24,0.0104
-3.888e-02,2.24,0.0068
-3.872e-02,2.26,0.0068
-3.856e-02,2.26,0.006
-3.840e-02,2.26,0.0064
-3.824e-02,2.3,0.006
-3.808e-02,2.3,0.0064
-3.792e-02,2.28,0.004
-3.776e-02,2.3,0.0032
-3.760e-02,2.3,0.0024
-3.744e-02,2.3,0.0028
-3.728e-02,2.32,0.0032
-3.712e-02,2.32,0.002
-3.696e-02,2.32,0.0024
-3.680e-02,2.32,-0.0012
-3.664e-02,2.32,0
-3.648e-02,2.3,-0.0016
-3.632e-02,2.3,-0.0024
-3.616e-02,2.3,-0.0028
-3.600e-02,2.3,-0.0052
-3.584e-02,2.28,-0.0052
-3.568e-02,2.28,-0.0056
-3.552e-02,2.26,-0.0072
-3.536e-02,2.26,-0.0052
-3.520e-02,2.24,-0.0048
