Model,TBS1102C,
Firmware Version,v2015-08-04-prequal4ch70_v1.3,

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,0.00016,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.01
Label,,
TIME,CH1,CH2
-1.600e-01,-2.22,0.0064
-1.598e-01,-2.2,0.0092
-1.597e-01,-2.18,0.0096
-1.595e-01,-2.16,0.0108
-1.594e-01,-2.14,0.0096
-1.592e-01,-2.14,0.0108
-1.590e-01,-2.12,0.0112
-1.589e-01,-2.1,0.012
-1.587e-01,-2.08,0.014
-1.586e-01,-2.06,0.0128
-1.584e-01,-2.04,0.0136
-1.582e-01,-2.02,0.0128
-1.581e-01,-2,0.014
-1.579e-01,-1.96,0.0152
-1.578e-01,-1.94,0.0144
-1.576e-01,-1.92,0.0176
-1.574e-01,-1.9,0.0188
-1.573e-01,-1.86,0.0152
-1.571e-01,-1.84,0.0164
-1.570e-01,-1.82,0.0172
-1.568e-01,-1.78,0.0188
-1.566e-01,-1.76,0.02
-1.565e-01,-1.72,0.0204
-1.563e-01,-1.72,0.02
-1.562e-01,-1.68,0.0216
-1.560e-01,-1.62,0.0212
-1.558e-01,-1.6,0.0212
-1.557e-01,-1.58,0.0236
-1.555e-01,-1.54,0.0224
-1.554e-01,-1.5,0.0212
-1.552e-01,-1.46,0.0232
-1.550e-01,-1.44,0.0248
-1.549e-01,-1.4,0.024
-1.547e-01,-1.36,0.0248
-1.546e-01,-1.32,0.024
-1.544e-01,-1.28,0.0236
-1.542e-01,-1.24,0.0228
-1.541e-01,-1.22,0.022
-1.539e-01,-1.16,0.0248
-1.538e-01,-1.12,0.0272
-1.536e-01,-1.08,0.0272
-1.534e-01,-1.06,0.0256
-1.533e-01,-1,0.0252
-1.531e-01,-0.96,0.026
-1.530e-01,-0.92,0.0296
-1.528e-01,-0.88,0.0284
-1.526e-01,-0.84,0.0272
-1.525e-01,-0.78,0.03
-1.523e-01,-0.76,0.028
-1.522e-01,-0.7,0.0276
-1.520e-01,-0.66,0.0292
-1.518e-01,-0.62,0.0296
-1.517e-01,-0.56,0.0288
-1.515e-01,-0.52,0.0292
-1.514e-01,-0.48,0.0296
-1.512e-01,-0.46,0.0296
-1.510e-01,-0.4,0.0304
-1.509e-01,-0.36,0.0292
-1.507e-01,-0.3,0.03
-1.506e-01,-0.26,0.0288
-1.504e-01,-0.22,0.0304
-1.502e-01,-0.2,0.0292
-1.501e-01,-0.12,0.0308
-1.499e-01,-0.08,0.0292
-1.498e-01,-0.04,0.0328
-1.496e-01,0.02,0.0308
-1.494e-01,0.04,0.0312
-1.493e-01,0.08,0.0308
-1.491e-01,0.12,0.0296
-1.490e-01,0.18,0.0304
-1.488e-01,0.22,0.03
-1.486e-01,0.26,0.03
-1.485e-01,0.32,0.0308
-1.483e-01,0.36,0.03
-1.482e-01,0.4,0.0308
-1.480e-01,0.44,0.0288
-1.478e-01,0.5,0.0276
-1.477e-01,0.54,0.0284
-1.475e-01,0.58,0.0284
-1.474e-01,0.62,0.0292
-1.472e-01,0.66,0.028
-1.470e-01,0.72,0.0296
-1.469e-01,0.76,0.0288
-1.467e-01,0.8,0.0288
-1.466e-01,0.84,0.0312
-1.464e-01,0.88,0.028
-1.462e-01,0.94,0.0312
-1.461e-01,0.96,0.0276
-1.459e-01,1,0.0264
-1.458e-01,1.06,0.0268
-1.456e-01,1.1,0.0256
-1.454e-01,1.14,0.0268
-1.453e-01,1.18,0.0276
-1.451e-01,1.22,0.0272
-1.450e-01,1.26,0.0256
-1.448e-01,1.3,0.024
-1.446e-01,1.34,0.0252
-1.445e-01,1.38,0.026
-1.443e-01,1.42,0.0228
-1.442e-01,1.44,0.0236
-1.440e-01,1.48,0.0224
-1.438e-01,1.52,0.0216
-1.437e-01,1.56,0.022
-1.435e-01,1.6,0.0232
-1.434e-01,1.62,0.0232
-1.432e-01,1.64,0.0212
-1.430e-01,1.7,0.0216
-1.429e-01,1.7,0.0196
-1.427e-01,1.74,0.0196
-1.426e-01,1.76,0.0196
-1.424e-01,1.82,0.018
-1.422e-01,1.82,0.0192
-1.421e-01,1.86,0.0176
-1.419e-01,1.88,0.0176
-1.418e-01,1.9,0.0164
-1.416e-01,1.94,0.0164
-1.414e-01,1.96,0.0164
-1.413e-01,1.98,0.0156
-1.411e-01,2,0.0152
-1.410e-01,2.02,0.014
-1.408e-01,2.06,0.0136
-1.406e-01,2.08,0.0128
-1.405e-01,2.08,0.0116
-1.403e-01,2.12,0.0128
-1.402e-01,2.12,0.0128
-1.400e-01,2.14,0.0116
-1.398e-01,2.18,0.0124
-1.397e-01,2.16,0.0104
-1.395e-01,2.2,0.0092
-1.394e-01,2.22,0.0084
-1.392e-01,2.22,0.0032
-1.390e-01,2.22,0.0072
-1.389e-01,2.24,0.008
-1.387e-01,2.26,0.0084
-1.386e-01,2.28,0.0068
-1.384e-01,2.28,0.0056
-1.382e-01,2.28,0.0052
-1.381e-01,2.28,0.0044
-1.379e-01,2.32,0.0036
-1.378e-01,2.3,0.0028
-1.376e-01,2.3,0.0032
-1.374e-01,2.32,0.002
-1.373e-01,2.32,0.0016
-1.371e-01,2.32,-0.0016
-1.370e-01,2.32,0.002
-1.368e-01,2.3,-0.0012
-1.366e-01,2.3,0
-1.365e-01,2.32,-0.0024
-1.363e-01,2.3,-0.0024
-1.362e-01,2.3,-0.0024
-1.360e-01,2.28,-0.0044
-1.358e-01,2.28,-0.004
-1.357e-01,2.26,-0.0052
-1.355e-01,2.26,-0.0048
-1.354e-01,2.26,-0.0044
-1.352e-01,2.24,-0.0064
-1.350e-01,2.22,-0.0096
-1.349e-01,2.22,-0.0108
-1.347e-01,2.2,-0.0084
-1.346e-01,2.18,-0.0092
-1.344e-01,2.18,-0.0088
-1.342e-01,2.16,-0.0096
-1.341e-01,2.14,-0.012
-1.339e-01,2.12,-0.012
-1.338e-01,2.12,-0.0128
-1.336e-01,2.08,-0.0116
-1.334e-01,2.08,-0.012
-1.333e-01,2.06,-0.0132
-1.331e-01,2.02,-0.0128
-1.330e-01,2,-0.0136
-1.328e-01,2,-0.0144
-1.326e-01,1.96,-0.0168
-1.325e-01,1.92,-0.0164
-1.323e-01,1.9,-0.016
-1.322e-01,1.88,-0.0164
-1.320e-01,1.86,-0.0176
-1.318e-01,1.82,-0.0184
-1.317e-01,1.8,-0.018
-1.315e-01,1.76,-0.0188
-1.314e-01,1.76,-0.0192
-1.312e-01,1.7,-0.0192
-1.310e-01,1.68,-0.0192
-1.309e-01,1.64,-0.0256
-1.307e-01,1.62,-0.0204
-1.306e-01,1.58,-0.0212
-1.304e-01,1.54,-0.0216
-1.302e-01,1.5,-0.022
-1.301e-01,1.48,-0.02
-1.299e-01,1.44,-0.0224
-1.298e-01,1.4,-0.026
-1.296e-01,1.36,-0.0236
-1.294e-01,1.32,-0.0232
-1.293e-01,1.28,-0.0244
-1.291e-01,1.26,-0.0252
-1.290e-01,1.2,-0.0244
-1.288e-01,1.16,-0.0256
-1.286e-01,1.12,-0.0252
-1.285e-01,1.08,-0.0264
-1.283e-01,1.04,-0.0268
-1.282e-01,1,-0.0268
-1.280e-01,0.96,-0.0268
-1.278e-01,0.92,-0.0276
-1.277e-01,0.88,-0.0276
-1.275e-01,0.84,-0.0284
-1.274e-01,0.78,-0.0284
-1.272e-01,0.74,-0.0276
-1.270e-01,0.72,-0.028
-1.269e-01,0.66,-0.0332
-1.267e-01,0.6,-0.0324
-1.266e-01,0.56,-0.028
-1.264e-01,0.52,-0.0276
-1.262e-01,0.48,-0.0284
-1.261e-01,0.44,-0.0288
-1.259e-01,0.38,-0.0312
-1.258e-01,0.34,-0.0312
-1.256e-01,0.3,-0.026
-1.254e-01,0.24,-0.0284
-1.253e-01,0.2,-0.0296
-1.251e-01,0.16,-0.0296
-1.250e-01,0.12,-0.0308
-1.248e-01,0.06,-0.0304
-1.246e-01,0.02,-0.0304
-1.245e-01,-0.04,-0.0312
-1.243e-01,-0.06,-0.0288
-1.242e-01,-0.1,-0.0292
-1.240e-01,-0.16,-0.03
-1.238e-01,-0.2,-0.0308
-1.237e-01,-0.24,-0.03
-1.235e-01,-0.28,-0.0292
-1.234e-01,-0.34,-0.0296
-1.232e-01,-0.38,-0.0296
-1.230e-01,-0.42,-0.0292
-1.229e-01,-0.46,-0.0284
-1.227e-01,-0.52,-0.03
-1.226e-01,-0.56,-0.0288
-1.224e-01,-0.6,-0.0288
-1.222e-01,-0.66,-0.0284
-1.221e-01,-0.68,-0.028
-1.219e-01,-0.74,-0.028
-1.218e-01,-0.78,-0.0284
-1.216e-01,-0.82,-0.028
-1.214e-01,-0.86,-0.0276
-1.213e-01,-0.9,-0.0284
-1.211e-01,-0.94,-0.0272
-1.210e-01,-0.98,-0.028
-1.208e-01,-1.02,-0.026
-1.206e-01,-1.08,-0.0268
-1.205e-01,-1.12,-0.0272
-1.203e-01,-1.16,-0.0256
-1.202e-01,-1.18,-0.026
-1.200e-01,-1.24,-0.026
-1.198e-01,-1.28,-0.0288
-1.197e-01,-1.3,-0.0252
-1.195e-01,-1.34,-0.0232
-1.194e-01,-1.38,-0.0248
-1.192e-01,-1.44,-0.0236
-1.190e-01,-1.46,-0.0204
-1.189e-01,-1.5,-0.0224
-1.187e-01,-1.54,-0.0216
-1.186e-01,-1.58,-0.0212
-1.184e-01,-1.6,-0.0196
-1.182e-01,-1.64,-0.0212
-1.181e-01,-1.66,-0.0208
-1.179e-01,-1.7,-0.0232
-1.178e-01,-1.72,-0.0184
-1.176e-01,-1.74,-0.0176
-1.174e-01,-1.78,-0.0184
-1.173e-01,-1.8,-0.0184
-1.171e-01,-1.84,-0.0176
-1.170e-01,-1.86,-0.0184
-1.168e-01,-1.9,-0.018
-1.166e-01,-1.92,-0.0144
-1.165e-01,-1.92,-0.0116
