Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,8e-07,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-8.000e-04,2.1,2.02
-7.992e-04,2.1,2.04
-7.984e-04,2.1,2.02
-7.976e-04,2.1,2.04
-7.968e-04,2.1,2.04
-7.960e-04,2.12,2.04
-7.952e-04,2.12,2.04
-7.944e-04,2.12,2.04
-7.936e-04,2.12,2.06
-7.928e-04,2.12,2.06
-7.920e-04,2.14,2.08
-7.912e-04,2.14,2.06
-7.904e-04,2.14,2.08
-7.896e-04,2.14,2.08
-7.888e-04,2.14,2.08
-7.880e-04,2.14,2.1
-7.872e-04,2.14,2.08
-7.864e-04,2.16,2.08
-7.856e-04,2.16,2.1
-7.848e-04,2.16,2.1
-7.840e-04,2.16,2.1
-7.832e-04,2.16,2.12
-7.824e-04,2.16,2.12
-7.816e-04,2.18,2.1
-7.808e-04,2.18,2.1
-7.800e-04,2.18,2.12
-7.792e-04,2.18,2.12
-7.784e-04,2.18,2.12
-7.776e-04,2.2,2.12
-7.768e-04,2.18,2.12
-7.760e-04,2.18,2.14
-7.752e-04,2.18,2.14
-7.744e-04,2.18,2.14
-7.736e-04,2.2,2.14
-7.728e-04,2.18,2.14
-7.720e-04,2.2,2.14
-7.712e-04,2.2,2.14
-7.704e-04,2.2,2.14
-7.696e-04,2.2,2.16
-7.688e-04,2.2,2.16
-7.680e-04,2.2,2.16
-7.672e-04,2.2,2.16
-7.664e-04,2.2,2.16
-7.656e-04,2.2,2.16
-7.648e-04,2.2,2.18
-7.640e-04,2.2,2.18
-7.632e-04,2.2,2.16
-7.624e-04,2.2,2.18
-7.616e-04,2.22,2.18
-7.608e-04,2.2,2.18
-7.600e-04,2.22,2.18
-7.592e-04,2.22,2.2
-7.584e-04,2.22,2.18
-7.576e-04,2.2,2.18
-7.568e-04,2.22,2.18
-7.560e-04,2.22,2.18
-7.552e-04,2.22,2.2
-7.544e-04,2.22,2.2
-7.536e-04,2.22,2.18
-7.528e-04,2.22,2.2
-7.520e-04,2.22,2.2
-7.512e-04,2.22,2.2
-7.504e-04,2.24,2.2
-7.496e-04,2.22,2.2
-7.488e-04,2.22,2.2
-7.480e-04,2.22,2.2
-7.472e-04,2.22,2.2
-7.464e-04,2.22,2.2
-7.456e-04,2.22,2.22
-7.448e-04,2.22,2.2
-7.440e-04,2.24,2.2
-7.432e-04,2.22,2.22
-7.424e-04,2.22,2.2
-7.416e-04,2.22,2.2
-7.408e-04,2.22,2.2
-7.400e-04,2.22,2.2
-7.392e-04,2.22,2.2
-7.384e-04,2.24,2.2
-7.376e-04,2.22,2.2
-7.368e-04,2.22,2.22
-7.360e-04,2.22,2.2
-7.352e-04,2.22,2.2
-7.344e-04,2.2,2.2
-7.336e-04,2.2,2.2
-7.328e-04,2.22,2.2
-7.320e-04,2.2,2.2
-7.312e-04,2.2,2.22
-7.304e-04,2.2,2.2
-7.296e-04,2.2,2.2
-7.288e-04,2.2,2.2
-7.280e-04,2.2,2.2
-7.272e-04,2.2,2.2
-7.264e-04,2.2,2.2
-7.256e-04,2.18,2.18
-7.248e-04,2.2,2.2
-7.240e-04,2.18,2.18
-7.232e-04,2.2,2.2
-7.224e-04,2.18,2.2
-7.216e-04,2.18,2.18
-7.208e-04,2.18,2.18
-7.200e-04,2.18,2.18
-7.192e-04,2.18,2.18
