Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,0.00016,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.005
Label,,
TIME,CH1,CH2
-1.600e-01,1.48,-0.0126
-1.598e-01,1.46,-0.0108
-1.597e-01,1.44,-0.0122
-1.595e-01,1.42,-0.0104
-1.594e-01,1.42,-0.012
-1.592e-01,1.38,-0.0152
-1.590e-01,1.38,-0.0114
-1.589e-01,1.36,-0.0122
-1.587e-01,1.32,-0.0136
-1.586e-01,1.3,-0.011
-1.584e-01,1.3,-0.0128
-1.582e-01,1.28,-0.0126
-1.581e-01,1.24,-0.0126
-1.579e-01,1.24,-0.0114
-1.578e-01,1.22,-0.0126
-1.576e-01,1.18,-0.0136
-1.574e-01,1.16,-0.0128
-1.573e-01,1.16,-0.0134
-1.571e-01,1.12,-0.0132
-1.570e-01,1.1,-0.0134
-1.568e-01,1.1,-0.0128
-1.566e-01,1.08,-0.0124
-1.565e-01,1.06,-0.0126
-1.563e-01,1.02,-0.0138
-1.562e-01,1,-0.0142
-1.560e-01,0.98,-0.014
-1.558e-01,0.96,-0.0128
-1.557e-01,0.94,-0.0162
-1.555e-01,0.92,-0.0136
-1.554e-01,0.92,-0.0142
-1.552e-01,0.88,-0.0124
-1.550e-01,0.86,-0.0146
-1.549e-01,0.84,-0.0134
-1.547e-01,0.82,-0.0142
-1.546e-01,0.8,-0.0134
-1.544e-01,0.78,-0.0134
-1.542e-01,0.76,-0.014
-1.541e-01,0.72,-0.0152
-1.539e-01,0.72,-0.0142
-1.538e-01,0.68,-0.0138
-1.536e-01,0.66,-0.0132
-1.534e-01,0.64,-0.0146
-1.533e-01,0.62,-0.0146
-1.531e-01,0.6,-0.0128
-1.530e-01,0.58,-0.014
-1.528e-01,0.56,-0.0148
-1.526e-01,0.52,-0.0152
-1.525e-01,0.5,-0.0176
-1.523e-01,0.48,-0.0176
-1.522e-01,0.46,-0.015
-1.520e-01,0.44,-0.015
