Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-07,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-2.000e-06,0.02,-0.02
-1.998e-06,0.04,0
-1.996e-06,0.06,0.02
-1.994e-06,0.08,0.04
-1.992e-06,0.08,0.04
-1.990e-06,0.1,0.06
-1.988e-06,0.1,0.06
-1.986e-06,0.12,0.08
-1.984e-06,0.14,0.1
-1.982e-06,0.16,0.12
-1.980e-06,0.18,0.12
-1.978e-06,0.18,0.14
-1.976e-06,0.2,0.16
-1.974e-06,0.2,0.18
-1.972e-06,0.22,0.18
-1.970e-06,0.24,0.2
-1.968e-06,0.24,0.22
-1.966e-06,0.26,0.24
-1.964e-06,0.26,0.24
-1.962e-06,0.3,0.24
-1.960e-06,0.3,0.26
-1.958e-06,0.32,0.28
-1.956e-06,0.34,0.3
-1.954e-06,0.34,0.3
-1.952e-06,0.36,0.32
-1.950e-06,0.38,0.34
-1.948e-06,0.4,0.34
-1.946e-06,0.4,0.36
-1.944e-06,0.42,0.38
-1.942e-06,0.42,0.4
-1.940e-06,0.44,0.4
-1.938e-06,0.46,0.42
-1.936e-06,0.48,0.42
-1.934e-06,0.48,0.44
-1.932e-06,0.5,0.46
-1.930e-06,0.5,0.48
-1.928e-06,0.52,0.48
-1.926e-06,0.54,0.5
-1.924e-06,0.54,0.52
-1.922e-06,0.56,0.54
-1.920e-06,0.58,0.54
-1.918e-06,0.6,0.54
-1.916e-06,0.6,0.56
-1.914e-06,0.62,0.58
-1.912e-06,0.64,0.6
-1.910e-06,0.64,0.6
-1.908e-06,0.68,0.62
-1.906e-06,0.68,0.64
-1.904e-06,0.7,0.64
-1.902e-06,0.7,0.66
-1.900e-06,0.72,0.66
-1.898e-06,0.72,0.68
-1.896e-06,0.76,0.7
-1.894e-06,0.76,0.72
-1.892e-06,0.78,0.74
-1.890e-06,0.78,0.74
-1.888e-06,0.8,0.74
-1.886e-06,0.82,0.76
-1.884e-06,0.84,0.78
-1.882e-06,0.84,0.8
-1.880e-06,0.86,0.82
-1.878e-06,0.86,0.82
-1.876e-06,0.88,0.82
-1.874e-06,0.88,0.84
-1.872e-06,0.9,0.86
-1.870e-06,0.92,0.88
-1.868e-06,0.92,0.88
-1.866e-06,0.94,0.9
-1.864e-06,0.94,0.92
-1.862e-06,0.96,0.92
-1.860e-06,0.98,0.94
-1.858e-06,1,0.94
-1.856e-06,1.02,0.96
-1.854e-06,1.02,0.96
-1.852e-06,1.02,0.98
-1.850e-06,1.04,1
-1.848e-06,1.06,1
-1.846e-06,1.08,1.02
-1.844e-06,1.08,1.04
-1.842e-06,1.08,1.06
-1.840e-06,1.1,1.06
-1.838e-06,1.12,1.06
-1.836e-06,1.14,1.08
-1.834e-06,1.14,1.08
-1.832e-06,1.14,1.1
-1.830e-06,1.16,1.12
-1.828e-06,1.18,1.14
-1.826e-06,1.2,1.14
-1.824e-06,1.22,1.16
-1.822e-06,1.22,1.18
-1.820e-06,1.24,1.18
-1.818e-06,1.24,1.2
-1.816e-06,1.24,1.2
-1.814e-06,1.26,1.22
-1.812e-06,1.28,1.22
-1.810e-06,1.28,1.24
-1.808e-06,1.3,1.26
-1.806e-06,1.3,1.26
-1.804e-06,1.32,1.26
-1.802e-06,1.34,1.28
-1.800e-06,1.34,1.3
-1.798e-06,1.36,1.3
-1.796e-06,1.38,1.32
-1.794e-06,1.4,1.32
-1.792e-06,1.4,1.34
-1.790e-06,1.4,1.36
-1.788e-06,1.42,1.36
-1.786e-06,1.42,1.38
-1.784e-06,1.44,1.38
-1.782e-06,1.44,1.4
-1.780e-06,1.46,1.42
-1.778e-06,1.48,1.42
-1.776e-06,1.48,1.42
-1.774e-06,1.48,1.44
-1.772e-06,1.5,1.46
-1.770e-06,1.52,1.48
-1.768e-06,1.52,1.48
-1.766e-06,1.52,1.48
-1.764e-06,1.54,1.5
-1.762e-06,1.56,1.5
-1.760e-06,1.58,1.52
-1.758e-06,1.58,1.52
-1.756e-06,1.58,1.52
-1.754e-06,1.6,1.54
-1.752e-06,1.62,1.56
-1.750e-06,1.62,1.56
-1.748e-06,1.62,1.58
-1.746e-06,1.64,1.58
-1.744e-06,1.64,1.6
-1.742e-06,1.66,1.6
-1.740e-06,1.66,1.62
-1.738e-06,1.66,1.62
-1.736e-06,1.68,1.64
-1.734e-06,1.7,1.66
-1.732e-06,1.7,1.66
-1.730e-06,1.72,1.66
-1.728e-06,1.72,1.68
-1.726e-06,1.72,1.68
-1.724e-06,1.74,1.7
-1.722e-06,1.74,1.7
-1.720e-06,1.76,1.7
-1.718e-06,1.76,1.72
-1.716e-06,1.78,1.72
-1.714e-06,1.78,1.74
-1.712e-06,1.8,1.74
-1.710e-06,1.8,1.74
-1.708e-06,1.82,1.76
-1.706e-06,1.82,1.76
-1.704e-06,1.82,1.78
-1.702e-06,1.84,1.78
-1.700e-06,1.84,1.8
-1.698e-06,1.84,1.8
-1.696e-06,1.86,1.82
-1.694e-06,1.88,1.82
-1.692e-06,1.88,1.84
-1.690e-06,1.88,1.84
-1.688e-06,1.88,1.84
-1.686e-06,1.9,1.86
-1.684e-06,1.9,1.86
-1.682e-06,1.9,1.86
-1.680e-06,1.92,1.88
-1.678e-06,1.94,1.88
-1.676e-06,1.94,1.9
-1.674e-06,1.94,1.9
-1.672e-06,1.94,1.9
-1.670e-06,1.96,1.9
-1.668e-06,1.96,1.92
-1.666e-06,1.98,1.92
-1.664e-06,1.98,1.94
-1.662e-06,1.98,1.94
-1.660e-06,2,1.96
-1.658e-06,2,1.96
-1.656e-06,2.02,1.96
-1.654e-06,2.02,1.98
-1.652e-06,2.02,1.98
-1.650e-06,2.02,1.98
-1.648e-06,2.04,2
-1.646e-06,2.04,2
-1.644e-06,2.04,2.02
-1.642e-06,2.06,2.02
-1.640e-06,2.06,2.02
-1.638e-06,2.06,2.02
-1.636e-06,2.08,2.04
-1.634e-06,2.08,2.04
-1.632e-06,2.08,2.04
-1.630e-06,2.1,2.06
-1.628e-06,2.1,2.06
-1.626e-06,2.1,2.06
-1.624e-06,2.1,2.06
-1.622e-06,2.1,2.08
-1.620e-06,2.1,2.08
-1.618e-06,2.12,2.08
-1.616e-06,2.12,2.08
-1.614e-06,2.14,2.08
-1.612e-06,2.14,2.1
-1.610e-06,2.14,2.1
-1.608e-06,2.14,2.1
-1.606e-06,2.16,2.1
-1.604e-06,2.16,2.12
-1.602e-06,2.16,2.12
-1.600e-06,2.16,2.12
-1.598e-06,2.18,2.14
-1.596e-06,2.18,2.14
-1.594e-06,2.18,2.14
-1.592e-06,2.18,2.14
-1.590e-06,2.18,2.16
-1.588e-06,2.2,2.16
-1.586e-06,2.2,2.16
-1.584e-06,2.22,2.16
-1.582e-06,2.2,2.16
-1.580e-06,2.2,2.16
