Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.2
Label,,
TIME,CH1,CH2
-1.600e-03,1.78,-0.248
-1.598e-03,1.78,-0.256
-1.597e-03,1.76,-0.248
-1.595e-03,1.76,-0.256
-1.594e-03,1.74,-0.264
-1.592e-03,1.72,-0.264
-1.590e-03,1.72,-0.272
-1.589e-03,1.72,-0.272
-1.587e-03,1.72,-0.272
-1.586e-03,1.7,-0.28
-1.584e-03,1.7,-0.28
-1.582e-03,1.68,-0.288
-1.581e-03,1.68,-0.288
-1.579e-03,1.68,-0.288
-1.578e-03,1.66,-0.296
-1.576e-03,1.66,-0.296
-1.574e-03,1.66,-0.296
-1.573e-03,1.64,-0.304
-1.571e-03,1.64,-0.304
-1.570e-03,1.62,-0.312
-1.568e-03,1.62,-0.312
-1.566e-03,1.6,-0.312
-1.565e-03,1.6,-0.32
-1.563e-03,1.58,-0.32
-1.562e-03,1.58,-0.328
-1.560e-03,1.58,-0.336
-1.558e-03,1.56,-0.328
-1.557e-03,1.56,-0.336
-1.555e-03,1.56,-0.344
-1.554e-03,1.54,-0.336
-1.552e-03,1.54,-0.344
-1.550e-03,1.52,-0.352
-1.549e-03,1.52,-0.352
-1.547e-03,1.5,-0.352
-1.546e-03,1.5,-0.352
-1.544e-03,1.5,-0.36
-1.542e-03,1.48,-0.368
-1.541e-03,1.48,-0.36
-1.539e-03,1.46,-0.368
-1.538e-03,1.46,-0.368
-1.536e-03,1.44,-0.376
-1.534e-03,1.42,-0.376
-1.533e-03,1.42,-0.384
-1.531e-03,1.42,-0.384
-1.530e-03,1.4,-0.392
-1.528e-03,1.4,-0.392
-1.526e-03,1.38,-0.392
-1.525e-03,1.38,-0.4
-1.523e-03,1.38,-0.392
-1.522e-03,1.36,-0.4
-1.520e-03,1.36,-0.408
-1.518e-03,1.34,-0.408
-1.517e-03,1.34,-0.408
-1.515e-03,1.32,-0.408
-1.514e-03,1.32,-0.416
-1.512e-03,1.3,-0.424
-1.510e-03,1.28,-0.424
-1.509e-03,1.28,-0.424
-1.507e-03,1.28,-0.424
-1.506e-03,1.26,-0.432
-1.504e-03,1.26,-0.432
-1.502e-03,1.24,-0.44
-1.501e-03,1.24,-0.448
-1.499e-03,1.22,-0.44
-1.498e-03,1.22,-0.448
-1.496e-03,1.2,-0.448
-1.494e-03,1.2,-0.448
-1.493e-03,1.18,-0.456
-1.491e-03,1.18,-0.456
-1.490e-03,1.18,-0.464
-1.488e-03,1.14,-0.464
-1.486e-03,1.14,-0.464
-1.485e-03,1.14,-0.472
-1.483e-03,1.12,-0.472
-1.482e-03,1.12,-0.472
-1.480e-03,1.1,-0.48
-1.478e-03,1.1,-0.48
-1.477e-03,1.08,-0.488
-1.475e-03,1.08,-0.488
-1.474e-03,1.06,-0.488
-1.472e-03,1.06,-0.488
-1.470e-03,1.04,-0.496
-1.469e-03,1.04,-0.496
-1.467e-03,1.02,-0.496
-1.466e-03,1,-0.504
-1.464e-03,1,-0.504
-1.462e-03,0.98,-0.504
-1.461e-03,0.98,-0.504
-1.459e-03,0.98,-0.512
-1.458e-03,0.96,-0.512
-1.456e-03,0.94,-0.512
-1.454e-03,0.94,-0.512
-1.453e-03,0.94,-0.52
-1.451e-03,0.92,-0.52
-1.450e-03,0.9,-0.52
-1.448e-03,0.88,-0.528
-1.446e-03,0.88,-0.536
-1.445e-03,0.88,-0.536
-1.443e-03,0.86,-0.544
-1.442e-03,0.84,-0.544
-1.440e-03,0.84,-0.544
-1.438e-03,0.84,-0.536
-1.437e-03,0.82,-0.544
-1.435e-03,0.82,-0.544
-1.434e-03,0.8,-0.552
-1.432e-03,0.78,-0.552
-1.430e-03,0.78,-0.552
-1.429e-03,0.76,-0.552
-1.427e-03,0.76,-0.56
-1.426e-03,0.74,-0.56
-1.424e-03,0.74,-0.56
-1.422e-03,0.72,-0.56
-1.421e-03,0.72,-0.568
-1.419e-03,0.72,-0.568
-1.418e-03,0.68,-0.568
-1.416e-03,0.68,-0.576
-1.414e-03,0.68,-0.576
-1.413e-03,0.64,-0.576
-1.411e-03,0.64,-0.576
-1.410e-03,0.62,-0.576
-1.408e-03,0.62,-0.584
-1.406e-03,0.62,-0.584
-1.405e-03,0.62,-0.584
-1.403e-03,0.58,-0.592
-1.402e-03,0.58,-0.6
-1.400e-03,0.56,-0.6
-1.398e-03,0.56,-0.6
-1.397e-03,0.54,-0.592
-1.395e-03,0.52,-0.6
-1.394e-03,0.52,-0.6
-1.392e-03,0.52,-0.6
-1.390e-03,0.5,-0.608
-1.389e-03,0.5,-0.608
-1.387e-03,0.48,-0.616
-1.386e-03,0.48,-0.616
-1.384e-03,0.44,-0.616
