Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-06,
Sample Interval,3.2e-08,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH2
-3.200e-05,2.12,2.02
-3.197e-05,2.16,2.02
-3.194e-05,2.12,2.02
-3.190e-05,2.12,2.02
-3.187e-05,2.16,2.02
-3.184e-05,2.12,2.04
-3.181e-05,2.12,2.04
-3.178e-05,2.12,2.04
-3.174e-05,2.16,2.06
-3.171e-05,2.12,2.06
-3.168e-05,2.12,2.06
-3.165e-05,2.12,2.06
-3.162e-05,2.16,2.08
-3.158e-05,2.16,2.08
-3.155e-05,2.16,2.08
-3.152e-05,2.16,2.08
-3.149e-05,2.16,2.08
-3.146e-05,2.16,2.08
-3.142e-05,2.16,2.08
-3.139e-05,2.16,2.08
-3.136e-05,2.16,2.1
-3.133e-05,2.16,2.1
-3.130e-05,2.16,2.1
-3.126e-05,2.16,2.1
-3.123e-05,2.2,2.1
-3.120e-05,2.16,2.1
-3.117e-05,2.16,2.1
-3.114e-05,2.2,2.1
-3.110e-05,2.2,2.12
-3.107e-05,2.16,2.12
-3.104e-05,2.16,2.12
-3.101e-05,2.2,2.12
-3.098e-05,2.16,2.12
-3.094e-05,2.16,2.12
-3.091e-05,2.2,2.12
-3.088e-05,2.2,2.12
-3.085e-05,2.2,2.14
-3.082e-05,2.16,2.14
-3.078e-05,2.2,2.12
-3.075e-05,2.2,2.14
-3.072e-05,2.2,2.14
-3.069e-05,2.2,2.14
-3.066e-05,2.2,2.14
-3.062e-05,2.2,2.14
-3.059e-05,2.2,2.14
-3.056e-05,2.16,2.14
-3.053e-05,2.16,2.14
-3.050e-05,2.16,2.14
-3.046e-05,2.2,2.16
-3.043e-05,2.16,2.16
-3.040e-05,2.16,2.16
-3.037e-05,2.16,2.16
-3.034e-05,2.16,2.16
-3.030e-05,2.16,2.16
-3.027e-05,2.16,2.16
-3.024e-05,2.16,2.16
-3.021e-05,2.2,2.16
-3.018e-05,2.16,2.16
-3.014e-05,2.16,2.16
-3.011e-05,2.16,2.16
-3.008e-05,2.16,2.16
-3.005e-05,2.16,2.16
-3.002e-05,2.16,2.16
-2.998e-05,2.16,2.16
-2.995e-05,2.16,2.16
-2.992e-05,2.16,2.16
-2.989e-05,2.16,2.16
-2.986e-05,2.16,2.16
-2.982e-05,2.12,2.16
-2.979e-05,2.12,2.16
-2.976e-05,2.12,2.14
-2.973e-05,2.12,2.16
-2.970e-05,2.12,2.16
-2.966e-05,2.12,2.16
-2.963e-05,2.12,2.16
-2.960e-05,2.16,2.16
-2.957e-05,2.12,2.16
-2.954e-05,2.12,2.14
-2.950e-05,2.12,2.14
-2.947e-05,2.12,2.14
-2.944e-05,2.12,2.14
-2.941e-05,2.12,2.14
-2.938e-05,2.12,2.14
-2.934e-05,2.12,2.14
-2.931e-05,2.08,2.12
-2.928e-05,2.08,2.12
-2.925e-05,2.08,2.14
-2.922e-05,2.08,2.12
-2.918e-05,2.08,2.14
-2.915e-05,2.08,2.14
-2.912e-05,2.04,2.12
-2.909e-05,2.04,2.12
-2.906e-05,2.08,2.12
-2.902e-05,2.04,2.1
-2.899e-05,2.04,2.12
-2.896e-05,2.04,2.1
