Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0001,
Sample Interval,8e-07,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-7.504e-04,-2.28,0
-7.496e-04,-2.28,0.04
-7.488e-04,-2.24,0.04
-7.480e-04,-2.28,0.04
-7.472e-04,-2.28,0.04
-7.464e-04,-2.28,0.04
-7.456e-04,-2.28,0.04
-7.448e-04,-2.28,0.04
-7.440e-04,-2.24,0.04
-7.432e-04,-2.28,0.04
-7.424e-04,-2.28,0.04
-7.416e-04,-2.28,0
-7.408e-04,-2.24,0
-7.400e-04,-2.28,0.04
-7.392e-04,-2.28,0
-7.384e-04,-2.28,0.04
-7.376e-04,-2.24,0
-7.368e-04,-2.28,0
-7.360e-04,-2.28,0
-7.352e-04,-2.28,0.04
-7.344e-04,-2.28,0.08
-7.336e-04,-2.28,0.04
-7.328e-04,-2.28,0.04
-7.320e-04,-2.28,0.04
-7.312e-04,-2.24,0.04
-7.304e-04,-2.28,0
-7.296e-04,-2.24,0.04
-7.288e-04,-2.28,0.04
-7.280e-04,-2.28,0.04
-7.272e-04,-2.28,0
-7.264e-04,-2.24,0
-7.256e-04,-2.24,0
-7.248e-04,-2.28,0
-7.240e-04,-2.28,0
-7.232e-04,-2.28,0.04
-7.224e-04,-2.28,0.04
-7.216e-04,-2.28,0.04
-7.208e-04,-2.28,0.04
-7.200e-04,-2.28,0
-7.192e-04,-2.24,0.04
-7.184e-04,-2.28,0
-7.176e-04,-2.28,0.04
-7.168e-04,-2.28,0
-7.160e-04,-2.28,0
-7.152e-04,-2.28,0
-7.144e-04,-2.28,0.04
-7.136e-04,-2.28,0
-7.128e-04,-2.28,0.04
-7.120e-04,-2.24,0.04
-7.112e-04,-2.28,0
-7.104e-04,-2.28,0
-7.096e-04,-2.28,0.04
-7.088e-04,-2.28,0.04
-7.080e-04,-2.28,0.04
-7.072e-04,-2.28,0.04
-7.064e-04,-2.28,0
-7.056e-04,-2.28,0
-7.048e-04,-2.28,0
-7.040e-04,-2.24,0
-7.032e-04,-2.28,0
-7.024e-04,-2.32,0
-7.016e-04,-2.28,0
-7.008e-04,-2.28,0
-7.000e-04,-2.28,0
-6.992e-04,-2.28,0.04
-6.984e-04,-2.28,0
-6.976e-04,-2.28,0
-6.968e-04,-2.28,0
-6.960e-04,-2.28,0.04
-6.952e-04,-2.28,0.04
-6.944e-04,-2.28,0.04
-6.936e-04,-2.28,0.04
-6.928e-04,-2.28,0.04
-6.920e-04,-2.28,0
-6.912e-04,-2.28,0.04
-6.904e-04,-2.28,0
-6.896e-04,-2.24,0
-6.888e-04,-2.28,0
-6.880e-04,-2.24,0
-6.872e-04,-2.28,0
-6.864e-04,-2.24,0.04
-6.856e-04,-2.24,0
-6.848e-04,-2.24,0.04
-6.840e-04,-2.24,0
-6.832e-04,-2.24,0.04
-6.824e-04,-2.28,0
-6.816e-04,-2.28,0
-6.808e-04,-2.28,0
-6.800e-04,-2.28,0
-6.792e-04,-2.28,0
-6.784e-04,-2.28,0
-6.776e-04,-2.24,0.04
-6.768e-04,-2.28,0
-6.760e-04,-2.28,0.04
-6.752e-04,-2.24,0
-6.744e-04,-2.28,0
-6.736e-04,-2.24,0
-6.728e-04,-2.28,0
-6.720e-04,-2.24,0.04
-6.712e-04,-2.24,0.04
-6.704e-04,-2.28,0
-6.696e-04,-2.28,0
