min.x,δ(min.x),min.y,δ(min.y),ln(min.y),δ(ln(min.y)),max.x,δ(max.x),max.y,δ(max.y),ln(max.y),δ(ln(max.y))
13.5575,0.068,0.308,0.02,-1.1776554960085626,0.06493506493506494,14.391499999999999,0.066,0.325,0.02,-1.1239300966523995,0.061538461538461535
14.990499999999999,0.024,-0.343,0.02,-1.0700248318161971,0.05830903790087463,15.538,0.021,0.312,0.02,-1.1647520911726548,0.06410256410256411
16.0855,0.044,-0.334,0.02,-1.0966142860054366,0.059880239520958084,16.6335,0.036000000000000004,0.303,0.02,-1.194022473472768,0.06600660066006601
17.180500000000002,0.058,-0.325,0.02,-1.1239300966523995,0.061538461538461535,17.727999999999998,0.053,0.294,0.02,-1.2241755116434554,0.06802721088435375
18.276,0.037,-0.316,0.02,-1.152013065395225,0.06329113924050633,18.823999999999998,0.027,0.294,0.02,-1.2241755116434554,0.06802721088435375
19.3705,0.056,-0.308,0.02,-1.1776554960085626,0.06493506493506494,19.918,0.051000000000000004,0.286,0.02,-1.2517634681622845,0.06993006993006994
20.466,0.039,-0.303,0.02,-1.194022473472768,0.06600660066006601,21.0125,0.032,0.28099999999999997,0.02,-1.2694006096483914,0.0711743772241993
21.5595,0.06,-0.295,0.02,-1.2207799226423173,0.06779661016949153,22.1065,0.056,0.27299999999999996,0.02,-1.2982834837971775,0.07326007326007328
22.653499999999998,0.046,-0.28600000000000003,0.02,-1.2517634681622845,0.06993006993006992,23.2005,0.042,0.27299999999999996,0.02,-1.2982834837971775,0.07326007326007328
23.7485,0.03,-0.28200000000000003,0.02,-1.2658482080440234,0.07092198581560283,24.2955,0.026000000000000002,0.268,0.02,-1.3167682984712803,0.07462686567164178
24.840999999999998,0.061,-0.273,0.02,-1.2982834837971773,0.07326007326007325,25.388,0.059000000000000004,0.26,0.02,-1.3470736479666092,0.07692307692307693
25.9345,0.054,-0.268,0.02,-1.3167682984712803,0.07462686567164178,26.4815,0.052000000000000005,0.255,0.02,-1.3664917338237108,0.0784313725490196
27.028000000000002,0.047,-0.264,0.02,-1.3318061758358208,0.07575757575757576,27.575000000000003,0.047,0.251,0.02,-1.3823023398503531,0.0796812749003984
28.121499999999997,0.038,-0.26,0.02,-1.3470736479666092,0.07692307692307693,28.668,0.039,0.246,0.02,-1.4024237430497744,0.08130081300813008
29.215,0.031,-0.255,0.02,-1.3664917338237108,0.0784313725490196,29.7605,0.032,0.242,0.02,-1.4188175528254507,0.08264462809917356
30.3085,0.02,-0.251,0.02,-1.3823023398503531,0.0796812749003984,30.8555,0.018000000000000002,0.238,0.02,-1.4354846053106625,0.08403361344537816
31.399,0.065,-0.24200000000000002,0.02,-1.4188175528254505,0.08264462809917354,31.948,0.015,0.23299999999999998,0.02,-1.4567168254164367,0.08583690987124465
32.491,0.065,-0.23800000000000002,0.02,-1.4354846053106622,0.08403361344537814,33.037,0.067,0.22499999999999998,0.02,-1.491654876777717,0.0888888888888889
33.5835,0.064,-0.234,0.02,-1.4524341636244356,0.08547008547008547,34.1295,0.068,0.22,0.02,-1.5141277326297755,0.09090909090909091
34.675,0.065,-0.229,0.02,-1.4740332754278973,0.08733624454148471,35.221,0.069,0.216,0.02,-1.5324768712979722,0.0925925925925926
