min.x,δ(min.x),min.y,δ(min.y),min.y.exp,δ(min.y.exp),max.x,δ(max.x),max.y,δ(max.y),max.y.exp,δ(max.y.exp)
31.1525,0.062,-0.155,0.02,1.167657961105125,0.0233531592221025,31.791,0.095,0.146,0.02,1.167657961105125,0.0233531592221025
32.4305,0.07,-0.15,0.02,1.161834242728283,0.023236684854565662,33.0685,0.10200000000000001,0.142,0.02,1.161834242728283,0.023236684854565662
33.708999999999996,0.077,-0.146,0.02,1.1571961880507962,0.023143923761015924,34.35,0.037,0.142,0.02,1.1571961880507962,0.023143923761015924
34.986999999999995,0.083,-0.14200000000000002,0.02,1.152576648537005,0.023051532970740102,35.6275,0.044,0.138,0.02,1.152576648537005,0.023051532970740102
36.265,0.093,-0.137,0.02,1.1468281485203982,0.022936562970407963,36.905,0.059000000000000004,0.133,0.02,1.1468281485203982,0.022936562970407963
37.5425,0.10200000000000001,-0.133,0.02,1.1422499983308942,0.022844999966617884,38.182500000000005,0.074,0.129,0.02,1.1422499983308942,0.022844999966617884
38.824,0.037,-0.133,0.02,1.1422499983308942,0.022844999966617884,39.46,0.091,0.125,0.02,1.1422499983308942,0.022844999966617884
40.1,0.063,-0.129,0.02,1.1376901241657316,0.02275380248331463,40.738,0.10300000000000001,0.12,0.02,1.1376901241657316,0.02275380248331463
41.376999999999995,0.079,-0.12,0.02,1.1274968515793757,0.022549937031587516,42.018,0.043000000000000003,0.125,0.02,1.1274968515793757,0.022549937031587516
42.655,0.099,-0.115,0.02,1.1218734375719384,0.022437468751438767,43.294000000000004,0.075,0.12,0.02,1.1218734375719384,0.022437468751438767
43.936499999999995,0.034,-0.115,0.02,1.1218734375719384,0.022437468751438767,44.57149999999999,0.098,0.11599999999999999,0.02,1.1218734375719384,0.022437468751438767
45.211000000000006,0.07100000000000001,-0.107,0.02,1.1129342544793257,0.022258685089586516,45.8565,0.022,0.12,0.02,1.1129342544793257,0.022258685089586516
46.488499999999995,0.096,-0.10200000000000001,0.02,1.1073834717279334,0.02214766943455867,47.1275,0.07200000000000001,0.11599999999999999,0.02,1.1073834717279334,0.02214766943455867
47.765,0.113,-0.098,0.02,1.1029627851085078,0.022059255702170155,48.404,0.095,0.111,0.02,1.1029627851085078,0.022059255702170155
49.0435,0.064,-0.098,0.02,1.1029627851085078,0.022059255702170155,49.6805,0.12,0.107,0.02,1.1029627851085078,0.022059255702170155
