min.x,δ(min.x),min.y,δ(min.y),max.x,δ(max.x),max.y,δ(max.y)
5.1259999999999994,0.023,-0.36,0.02,5.643,0.041,0.364,0.02
6.162,0.035,-0.351,0.02,6.6795,0.052000000000000005,0.355,0.02
7.1979999999999995,0.047,-0.338,0.02,7.7165,0.034,0.351,0.02
8.235,0.021,-0.338,0.02,8.752,0.047,0.338,0.02
9.27,0.043000000000000003,-0.334,0.02,9.787999999999998,0.029,0.334,0.02
10.3065,0.022,-0.33,0.02,10.822999999999999,0.051000000000000004,0.325,0.02
11.3405,0.046,-0.321,0.02,11.858500000000001,0.034,0.316,0.02
12.376,0.031,-0.321,0.02,12.8925,0.056,0.307,0.02
13.41,0.053,-0.312,0.02,13.927,0.047,0.303,0.02
14.4445,0.044,-0.308,0.02,14.961999999999998,0.035,0.299,0.02
15.479,0.035,-0.303,0.02,15.997,0.021,0.294,0.02
16.5135,0.024,-0.295,0.02,17.029500000000002,0.056,0.29,0.02
17.5465,0.056,-0.286,0.02,18.0635,0.048,0.281,0.02
18.580000000000002,0.051000000000000004,-0.282,0.02,19.097,0.043000000000000003,0.281,0.02
19.6135,0.046,-0.277,0.02,20.130499999999998,0.038,0.277,0.02
20.647,0.039,-0.273,0.02,21.1635,0.034,0.273,0.02
21.68,0.037,-0.269,0.02,22.197,0.023,0.268,0.02
22.712500000000002,0.034,-0.264,0.02,23.2315,0.014,0.264,0.02
23.746,0.031,-0.26,0.02,24.264,0.017,0.259,0.02
24.7785,0.028,-0.251,0.02,25.294999999999998,0.023,0.259,0.02
25.8105,0.032,-0.247,0.02,26.328000000000003,0.021,0.255,0.02
26.843,0.035,-0.238,0.02,27.3595,0.026000000000000002,0.255,0.02
27.875,0.039,-0.23399999999999999,0.02,28.3915,0.032,0.251,0.02
28.9065,0.042,-0.229,0.02,29.422500000000003,0.04,0.246,0.02
29.9385,0.048,-0.225,0.02,30.4545,0.042,0.242,0.02
30.970000000000002,0.053,-0.221,0.02,31.486,0.051000000000000004,0.238,0.02
32.0015,0.058,-0.216,0.02,32.5175,0.056,0.233,0.02
33.033,0.063,-0.212,0.02,33.549,0.063,0.229,0.02
