min.x,δ(min.x),min.y,δ(min.y),max.x,δ(max.x),max.y,δ(max.y)
9.212499999999999,0.018000000000000002,-0.028499999999999998,0.02,10.012,0.097,0.36450000000000005,0.02
11.065,0.157,0.2945,0.02,11.627500000000001,0.278,0.3115,0.02
11.813500000000001,0.094,0.3075,0.02,12.799999999999999,0.131,0.3385,0.02
12.972000000000001,0.033,0.3295,0.02,13.031,0.085,0.3335,0.02
13.3995,0.224,0.3165,0.02,13.609,0.195,0.3205,0.02
14.314000000000002,0.145,0.3115,0.02,14.453,0.133,0.3165,0.02
15.266,0.055,-0.35550000000000004,0.02,15.9795,0.056,0.3075,0.02
16.6945,0.032,-0.35550000000000004,0.02,17.4075,0.076,0.3035,0.02
18.121499999999997,0.062,-0.34750000000000003,0.02,18.8355,0.054,0.3075,0.02
19.55,0.035,-0.34750000000000003,0.02,20.25,0.049,0.3035,0.02
20.977,0.063,-0.34750000000000003,0.02,21.691000000000003,0.055,0.2985,0.02
22.405,0.037,-0.34750000000000003,0.02,23.1215,0.018000000000000002,0.2985,0.02
23.8315,0.068,-0.3425,0.02,24.5455,0.06,0.2905,0.02
25.26,0.045,-0.34750000000000003,0.02,25.974,0.031,0.2905,0.02
26.686500000000002,0.07200000000000001,-0.3425,0.02,27.4005,0.064,0.2855,0.02
28.1135,0.05,-0.3425,0.02,28.828,0.037,0.2815,0.02
29.54,0.077,-0.3385,0.02,30.2535,0.07,0.27649999999999997,0.02
30.9675,0.058,-0.3425,0.02,31.680999999999997,0.049,0.27649999999999997,0.02
32.396,0.029,-0.3425,0.02,33.1075,0.074,0.27249999999999996,0.02
33.8205,0.062,-0.3385,0.02,34.5345,0.054,0.27249999999999996,0.02
35.2485,0.036000000000000004,-0.3385,0.02,35.9605,0.08,0.26849999999999996,0.02
36.6735,0.07,-0.3335,0.02,37.387,0.061,0.26849999999999996,0.02
38.100500000000004,0.05,-0.3335,0.02,38.8145,0.036000000000000004,0.26849999999999996,0.02
39.525999999999996,0.077,-0.3295,0.02,40.2395,0.07,0.26349999999999996,0.02
40.9525,0.06,-0.3255,0.02,41.666,0.049,0.26849999999999996,0.02
42.379999999999995,0.035,-0.3255,0.02,43.091,0.079,0.26349999999999996,0.02
43.8045,0.07,-0.3205,0.02,44.5175,0.062,0.26349999999999996,0.02
45.231,0.051000000000000004,-0.3205,0.02,45.943999999999996,0.041,0.26349999999999996,0.02
46.656,0.079,-0.3125,0.02,47.369,0.073,0.26349999999999996,0.02
48.082,0.063,-0.3125,0.02,48.795,0.055,0.26349999999999996,0.02
49.5085,0.04,-0.3125,0.02,50.222500000000004,0.028,0.26349999999999996,0.02
