min.x,δ(min.x),min.y,δ(min.y),min.y.exp,δ(min.y.exp),max.x,δ(max.x),max.y,δ(max.y),max.y.exp,δ(max.y.exp)
9.694,0.079,-0.1855,0.02,1.2038201997751343,0.024076403995502687,10.315,0.083,0.1985,0.02,1.2038201997751343,0.024076403995502687
10.935,0.065,-0.1815,0.02,1.1990145367097138,0.023980290734194276,11.5555,0.074,0.2025,0.02,1.1990145367097138,0.023980290734194276
12.1775,0.048,-0.1815,0.02,1.1990145367097138,0.023980290734194276,12.798499999999999,0.062,0.2025,0.02,1.1990145367097138,0.023980290734194276
13.421000000000001,0.027,-0.1815,0.02,1.1990145367097138,0.023980290734194276,14.039499999999999,0.048,0.2025,0.02,1.1990145367097138,0.023980290734194276
14.6585,0.078,-0.1765,0.02,1.1930344267595976,0.02386068853519195,15.282499999999999,0.024,0.2025,0.02,1.1930344267595976,0.02386068853519195
15.9005,0.066,-0.1765,0.02,1.1930344267595976,0.02386068853519195,16.521,0.079,0.1985,0.02,1.1930344267595976,0.02386068853519195
17.142,0.053,-0.1765,0.02,1.1930344267595976,0.02386068853519195,17.7625,0.068,0.1985,0.02,1.1930344267595976,0.02386068853519195
18.3845,0.032,-0.1765,0.02,1.1930344267595976,0.02386068853519195,19.004,0.055,0.1985,0.02,1.1930344267595976,0.02386068853519195
19.6235,0.084,-0.1725,0.02,1.1882718206149883,0.023765436412299765,20.2465,0.036000000000000004,0.1985,0.02,1.1882718206149883,0.023765436412299765
20.8655,0.074,-0.1725,0.02,1.1882718206149883,0.023765436412299765,21.4855,0.08600000000000001,0.1945,0.02,1.1882718206149883,0.023765436412299765
22.1065,0.062,-0.1725,0.02,1.1882718206149883,0.023765436412299765,22.726499999999998,0.076,0.1945,0.02,1.1882718206149883,0.023765436412299765
23.348,0.047,-0.1725,0.02,1.1882718206149883,0.023765436412299765,23.9675,0.064,0.1895,0.02,1.1882718206149883,0.023765436412299765
24.592,0.023,-0.1765,0.02,1.1930344267595976,0.02386068853519195,25.2095,0.05,0.1895,0.02,1.1930344267595976,0.02386068853519195
25.828999999999997,0.081,-0.1725,0.02,1.1882718206149883,0.023765436412299765,26.451999999999998,0.029,0.1895,0.02,1.1882718206149883,0.023765436412299765
27.07,0.07100000000000001,-0.16849999999999998,0.02,1.1835282268448586,0.02367056453689717,27.690499999999997,0.08,0.1895,0.02,1.1835282268448586,0.02367056453689717
28.311,0.059000000000000004,-0.16849999999999998,0.02,1.1835282268448586,0.02367056453689717,28.932,0.07100000000000001,0.1895,0.02,1.1835282268448586,0.02367056453689717
29.553,0.043000000000000003,-0.16849999999999998,0.02,1.1835282268448586,0.02367056453689717,30.173000000000002,0.059000000000000004,0.1895,0.02,1.1835282268448586,0.02367056453689717
30.792499999999997,0.09,-0.1635,0.02,1.177625355187422,0.02355250710374844,31.4145,0.044,0.1895,0.02,1.177625355187422,0.02355250710374844
32.0335,0.082,-0.1635,0.02,1.177625355187422,0.02355250710374844,32.6535,0.09,0.1855,0.02,1.177625355187422,0.02355250710374844
33.275,0.07100000000000001,-0.1635,0.02,1.177625355187422,0.02355250710374844,33.894999999999996,0.081,0.1855,0.02,1.177625355187422,0.02355250710374844
34.516,0.059000000000000004,-0.1635,0.02,1.177625355187422,0.02355250710374844,35.1355,0.07,0.1855,0.02,1.177625355187422,0.02355250710374844
35.7575,0.042,-0.1635,0.02,1.177625355187422,0.02355250710374844,36.3765,0.058,0.1855,0.02,1.177625355187422,0.02355250710374844
36.9965,0.088,-0.1595,0.02,1.172924262220728,0.023458485244414563,37.618500000000004,0.042,0.1855,0.02,1.172924262220728,0.023458485244414563
38.237500000000004,0.078,-0.1595,0.02,1.172924262220728,0.023458485244414563,38.8575,0.09,0.1815,0.02,1.172924262220728,0.023458485244414563
39.4785,0.068,-0.1595,0.02,1.172924262220728,0.023458485244414563,40.099000000000004,0.081,0.1815,0.02,1.172924262220728,0.023458485244414563
40.719500000000004,0.054,-0.1595,0.02,1.172924262220728,0.023458485244414563,41.339999999999996,0.07100000000000001,0.1815,0.02,1.172924262220728,0.023458485244414563
41.9615,0.036000000000000004,-0.1595,0.02,1.172924262220728,0.023458485244414563,42.5805,0.058,0.1815,0.02,1.172924262220728,0.023458485244414563
43.2005,0.09,-0.1545,0.02,1.1670742780574945,0.023341485561149893,43.822,0.043000000000000003,0.1815,0.02,1.1670742780574945,0.023341485561149893
44.441,0.081,-0.1545,0.02,1.1670742780574945,0.023341485561149893,45.061,0.093,0.17650000000000002,0.02,1.1670742780574945,0.023341485561149893
45.682,0.07100000000000001,-0.1545,0.02,1.1670742780574945,0.023341485561149893,46.301500000000004,0.08600000000000001,0.17650000000000002,0.02,1.1670742780574945,0.023341485561149893
46.9235,0.064,-0.1545,0.02,1.1670742780574945,0.023341485561149893,47.543,0.075,0.17250000000000001,0.02,1.1670742780574945,0.023341485561149893
48.1635,0.052000000000000005,-0.1595,0.02,1.172924262220728,0.023458485244414563,48.7825,0.064,0.17250000000000001,0.02,1.172924262220728,0.023458485244414563
49.4065,0.028,-0.1595,0.02,1.172924262220728,0.023458485244414563,50.024,0.049,0.17250000000000001,0.02,1.172924262220728,0.023458485244414563
50.643499999999996,0.088,-0.1545,0.02,1.1670742780574945,0.023341485561149893,51.266,0.033,0.17250000000000001,0.02,1.1670742780574945,0.023341485561149893
51.884,0.079,-0.1545,0.02,1.1670742780574945,0.023341485561149893,52.504,0.08700000000000001,0.1675,0.02,1.1670742780574945,0.023341485561149893
