Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-07,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.02
Label,,
TIME,CH1,CH2
-1.000e-06,0.14,0.0368
-9.990e-07,0.14,0.0368
-9.980e-07,0.16,0.0376
-9.970e-07,0.18,0.0376
-9.960e-07,0.2,0.0376
-9.950e-07,0.2,0.0376
-9.940e-07,0.22,0.0376
-9.930e-07,0.24,0.0376
-9.920e-07,0.24,0.0384
-9.910e-07,0.26,0.0384
-9.900e-07,0.28,0.0384
-9.890e-07,0.3,0.0392
-9.880e-07,0.3,0.0392
-9.870e-07,0.32,0.0392
-9.860e-07,0.34,0.0392
-9.850e-07,0.34,0.0392
-9.840e-07,0.36,0.0392
-9.830e-07,0.36,0.0392
-9.820e-07,0.38,0.04
-9.810e-07,0.4,0.04
-9.800e-07,0.42,0.04
-9.790e-07,0.42,0.04
-9.780e-07,0.44,0.04
-9.770e-07,0.46,0.0408
-9.760e-07,0.46,0.0408
-9.750e-07,0.48,0.0408
-9.740e-07,0.5,0.0408
-9.730e-07,0.52,0.0416
-9.720e-07,0.52,0.0416
-9.710e-07,0.54,0.0416
-9.700e-07,0.56,0.0416
-9.690e-07,0.56,0.0416
-9.680e-07,0.58,0.0416
-9.670e-07,0.58,0.0424
-9.660e-07,0.6,0.0424
-9.650e-07,0.62,0.0432
-9.640e-07,0.64,0.0432
-9.630e-07,0.64,0.0432
-9.620e-07,0.66,0.0432
-9.610e-07,0.68,0.0432
-9.600e-07,0.68,0.0432
-9.590e-07,0.7,0.0432
-9.580e-07,0.72,0.0432
-9.570e-07,0.72,0.044
-9.560e-07,0.74,0.044
-9.550e-07,0.76,0.044
-9.540e-07,0.78,0.044
-9.530e-07,0.78,0.044
-9.520e-07,0.8,0.044
-9.510e-07,0.8,0.0448
-9.500e-07,0.82,0.0448
-9.490e-07,0.84,0.0448
-9.480e-07,0.86,0.0448
-9.470e-07,0.88,0.0456
-9.460e-07,0.88,0.0456
-9.450e-07,0.9,0.0456
-9.440e-07,0.9,0.0456
-9.430e-07,0.92,0.0456
-9.420e-07,0.92,0.0456
-9.410e-07,0.94,0.0456
-9.400e-07,0.96,0.0456
-9.390e-07,0.98,0.0456
-9.380e-07,0.98,0.0456
-9.370e-07,1,0.0464
-9.360e-07,1,0.0464
-9.350e-07,1.02,0.0464
-9.340e-07,1.04,0.0464
-9.330e-07,1.04,0.0464
-9.320e-07,1.06,0.0464
-9.310e-07,1.08,0.0464
-9.300e-07,1.08,0.0464
-9.290e-07,1.1,0.0464
-9.280e-07,1.1,0.0464
-9.270e-07,1.12,0.0472
-9.260e-07,1.14,0.0472
-9.250e-07,1.14,0.0472
-9.240e-07,1.16,0.0472
-9.230e-07,1.16,0.0472
-9.220e-07,1.18,0.0472
-9.210e-07,1.2,0.0464
-9.200e-07,1.2,0.0464
-9.190e-07,1.22,0.0464
-9.180e-07,1.24,0.0472
-9.170e-07,1.24,0.0472
-9.160e-07,1.26,0.0472
-9.150e-07,1.26,0.048
-9.140e-07,1.28,0.048
-9.130e-07,1.28,0.0472
-9.120e-07,1.3,0.0472
-9.110e-07,1.32,0.0472
-9.100e-07,1.32,0.0472
-9.090e-07,1.34,0.0472
-9.080e-07,1.36,0.0472
-9.070e-07,1.36,0.048
-9.060e-07,1.36,0.048
-9.050e-07,1.38,0.0488
-9.040e-07,1.4,0.0488
-9.030e-07,1.4,0.048
-9.020e-07,1.42,0.048
-9.010e-07,1.42,0.048
-9.000e-07,1.44,0.048
-8.990e-07,1.44,0.048
-8.980e-07,1.46,0.048
-8.970e-07,1.46,0.0488
-8.960e-07,1.48,0.0488
-8.950e-07,1.5,0.0488
-8.940e-07,1.5,0.0488
-8.930e-07,1.52,0.0488
-8.920e-07,1.54,0.0488
-8.910e-07,1.54,0.0488
-8.900e-07,1.54,0.048
-8.890e-07,1.56,0.048
-8.880e-07,1.58,0.048
-8.870e-07,1.58,0.0488
-8.860e-07,1.6,0.0488
-8.850e-07,1.6,0.0488
-8.840e-07,1.62,0.0488
-8.830e-07,1.62,0.0488
-8.820e-07,1.62,0.0488
-8.810e-07,1.64,0.0488
-8.800e-07,1.64,0.0488
-8.790e-07,1.66,0.048
-8.780e-07,1.66,0.048
-8.770e-07,1.68,0.0488
-8.760e-07,1.68,0.0488
-8.750e-07,1.7,0.0488
-8.740e-07,1.7,0.0496
-8.730e-07,1.72,0.0496
-8.720e-07,1.72,0.0496
-8.710e-07,1.74,0.0488
-8.700e-07,1.74,0.0488
-8.690e-07,1.76,0.0488
-8.680e-07,1.76,0.048
-8.670e-07,1.78,0.048
-8.660e-07,1.78,0.0488
-8.650e-07,1.8,0.0488
-8.640e-07,1.8,0.0488
-8.630e-07,1.82,0.0488
-8.620e-07,1.82,0.0488
-8.610e-07,1.84,0.0488
-8.600e-07,1.84,0.0488
-8.590e-07,1.84,0.0488
-8.580e-07,1.86,0.048
-8.570e-07,1.86,0.048
-8.560e-07,1.88,0.0488
-8.550e-07,1.88,0.0488
-8.540e-07,1.88,0.0488
-8.530e-07,1.9,0.0488
-8.520e-07,1.9,0.0488
-8.510e-07,1.92,0.0488
-8.500e-07,1.92,0.048
-8.490e-07,1.92,0.048
-8.480e-07,1.94,0.0472
-8.470e-07,1.94,0.0472
-8.460e-07,1.94,0.0472
-8.450e-07,1.96,0.0472
-8.440e-07,1.96,0.0472
-8.430e-07,1.98,0.0472
-8.420e-07,1.98,0.048
-8.410e-07,2,0.0472
-8.400e-07,2,0.0472
-8.390e-07,2,0.0464
-8.380e-07,2.02,0.0464
-8.370e-07,2.02,0.0456
-8.360e-07,2.02,0.0456
-8.350e-07,2.04,0.0456
-8.340e-07,2.04,0.0464
-8.330e-07,2.04,0.0464
-8.320e-07,2.06,0.0464
-8.310e-07,2.06,0.0472
-8.300e-07,2.06,0.0472
-8.290e-07,2.08,0.0464
-8.280e-07,2.08,0.0464
-8.270e-07,2.08,0.0456
-8.260e-07,2.1,0.0456
-8.250e-07,2.1,0.0456
-8.240e-07,2.1,0.0456
-8.230e-07,2.12,0.0456
-8.220e-07,2.12,0.0456
-8.210e-07,2.12,0.0456
-8.200e-07,2.12,0.0448
-8.190e-07,2.14,0.0448
-8.180e-07,2.14,0.0448
-8.170e-07,2.14,0.0448
-8.160e-07,2.16,0.0448
-8.150e-07,2.16,0.0448
-8.140e-07,2.16,0.0448
-8.130e-07,2.18,0.0448
-8.120e-07,2.18,0.0448
-8.110e-07,2.18,0.0448
-8.100e-07,2.18,0.0448
-8.090e-07,2.18,0.0448
-8.080e-07,2.2,0.0448
-8.070e-07,2.2,0.0448
-8.060e-07,2.2,0.0448
-8.050e-07,2.22,0.0448
-8.040e-07,2.22,0.044
-8.030e-07,2.22,0.044
-8.020e-07,2.24,0.044
-8.010e-07,2.24,0.0432
-8.000e-07,2.24,0.0432
-7.990e-07,2.24,0.0432
-7.980e-07,2.24,0.0432
-7.970e-07,2.24,0.0432
-7.960e-07,2.24,0.0432
-7.950e-07,2.26,0.0432
