Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-07,
Sample Interval,2e-09,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
2.21344e-04,-2.06,0.24
2.21346e-04,-2.06,0.24
2.21348e-04,-2.08,0.22
2.21350e-04,-2.08,0.24
2.21352e-04,-2.1,0.22
2.21354e-04,-2.08,0.22
2.21356e-04,-2.1,0.22
2.21358e-04,-2.1,0.22
2.21360e-04,-2.1,0.22
2.21362e-04,-2.1,0.2
2.21364e-04,-2.12,0.2
2.21366e-04,-2.12,0.2
2.21368e-04,-2.12,0.2
2.21370e-04,-2.14,0.2
2.21372e-04,-2.14,0.2
2.21374e-04,-2.16,0.2
2.21376e-04,-2.14,0.2
2.21378e-04,-2.14,0.18
2.21380e-04,-2.14,0.18
2.21382e-04,-2.16,0.18
2.21384e-04,-2.16,0.18
2.21386e-04,-2.18,0.18
2.21388e-04,-2.16,0.18
2.21390e-04,-2.18,0.18
2.21392e-04,-2.18,0.16
2.21394e-04,-2.18,0.16
2.21396e-04,-2.18,0.16
2.21398e-04,-2.2,0.16
2.21400e-04,-2.2,0.16
2.21402e-04,-2.2,0.16
2.21404e-04,-2.2,0.16
2.21406e-04,-2.2,0.14
2.21408e-04,-2.22,0.14
2.21410e-04,-2.22,0.14
2.21412e-04,-2.22,0.14
2.21414e-04,-2.22,0.12
2.21416e-04,-2.22,0.14
2.21418e-04,-2.22,0.12
2.21420e-04,-2.22,0.12
2.21422e-04,-2.24,0.12
2.21424e-04,-2.24,0.12
2.21426e-04,-2.24,0.1
2.21428e-04,-2.24,0.1
2.21430e-04,-2.24,0.1
2.21432e-04,-2.24,0.1
2.21434e-04,-2.26,0.1
2.21436e-04,-2.26,0.1
2.21438e-04,-2.26,0.08
2.21440e-04,-2.26,0.1
2.21442e-04,-2.24,0.1
2.21444e-04,-2.24,0.08
2.21446e-04,-2.26,0.08
2.21448e-04,-2.26,0.06
2.21450e-04,-2.28,0.06
2.21452e-04,-2.26,0.08
2.21454e-04,-2.28,0.06
2.21456e-04,-2.26,0.06
2.21458e-04,-2.26,0.04
2.21460e-04,-2.26,0.04
2.21462e-04,-2.26,0.06
2.21464e-04,-2.26,0.06
2.21466e-04,-2.28,0.04
2.21468e-04,-2.28,0.04
2.21470e-04,-2.28,0.04
2.21472e-04,-2.28,0.02
2.21474e-04,-2.26,0.02
2.21476e-04,-2.28,0.04
2.21478e-04,-2.28,0.04
2.21480e-04,-2.28,0.02
2.21482e-04,-2.26,0.02
2.21484e-04,-2.26,0
2.21486e-04,-2.26,0.02
2.21488e-04,-2.26,0
2.21490e-04,-2.26,0
2.21492e-04,-2.26,0
2.21494e-04,-2.26,-0.02
2.21496e-04,-2.26,0
2.21498e-04,-2.26,-0.02
2.21500e-04,-2.26,-0.02
2.21502e-04,-2.26,-0.02
2.21504e-04,-2.28,-0.02
2.21506e-04,-2.26,-0.02
2.21508e-04,-2.26,-0.02
2.21510e-04,-2.24,-0.02
2.21512e-04,-2.24,-0.02
2.21514e-04,-2.24,-0.04
2.21516e-04,-2.24,-0.04
2.21518e-04,-2.24,-0.04
2.21520e-04,-2.26,-0.04
2.21522e-04,-2.24,-0.04
2.21524e-04,-2.24,-0.04
2.21526e-04,-2.24,-0.06
2.21528e-04,-2.22,-0.06
2.21530e-04,-2.22,-0.06
2.21532e-04,-2.22,-0.06
2.21534e-04,-2.22,-0.08
2.21536e-04,-2.22,-0.08
2.21538e-04,-2.2,-0.06
2.21540e-04,-2.22,-0.06
2.21542e-04,-2.2,-0.06
2.21544e-04,-2.2,-0.08
2.21546e-04,-2.2,-0.08
2.21548e-04,-2.2,-0.08
2.21550e-04,-2.2,-0.08
2.21552e-04,-2.18,-0.1
2.21554e-04,-2.18,-0.1
2.21556e-04,-2.18,-0.1
2.21558e-04,-2.18,-0.12
2.21560e-04,-2.18,-0.12
2.21562e-04,-2.16,-0.12
2.21564e-04,-2.16,-0.12
2.21566e-04,-2.16,-0.12
2.21568e-04,-2.16,-0.12
2.21570e-04,-2.16,-0.12
2.21572e-04,-2.14,-0.14
2.21574e-04,-2.14,-0.14
2.21576e-04,-2.14,-0.14
2.21578e-04,-2.14,-0.14
2.21580e-04,-2.14,-0.16
2.21582e-04,-2.12,-0.16
2.21584e-04,-2.12,-0.14
2.21586e-04,-2.12,-0.14
2.21588e-04,-2.1,-0.14
2.21590e-04,-2.1,-0.16
2.21592e-04,-2.1,-0.16
2.21594e-04,-2.1,-0.16
2.21596e-04,-2.08,-0.18
2.21598e-04,-2.08,-0.16
2.21600e-04,-2.08,-0.16
2.21602e-04,-2.08,-0.18
2.21604e-04,-2.06,-0.18
2.21606e-04,-2.06,-0.18
2.21608e-04,-2.06,-0.18
2.21610e-04,-2.06,-0.2
2.21612e-04,-2.04,-0.18
2.21614e-04,-2.04,-0.18
2.21616e-04,-2.04,-0.2
2.21618e-04,-2.02,-0.2
2.21620e-04,-2.02,-0.2
2.21622e-04,-2.02,-0.2
2.21624e-04,-2,-0.2
2.21626e-04,-2,-0.2
2.21628e-04,-2,-0.2
2.21630e-04,-1.98,-0.22
2.21632e-04,-1.98,-0.22
2.21634e-04,-1.96,-0.24
2.21636e-04,-1.98,-0.24
2.21638e-04,-1.96,-0.22
2.21640e-04,-1.96,-0.22
2.21642e-04,-1.94,-0.22
2.21644e-04,-1.94,-0.22
2.21646e-04,-1.92,-0.22
2.21648e-04,-1.94,-0.24
2.21650e-04,-1.92,-0.24
2.21652e-04,-1.92,-0.26
2.21654e-04,-1.9,-0.26
2.21656e-04,-1.9,-0.24
2.21658e-04,-1.88,-0.26
2.21660e-04,-1.88,-0.26
2.21662e-04,-1.88,-0.26
2.21664e-04,-1.86,-0.28
2.21666e-04,-1.86,-0.26
2.21668e-04,-1.86,-0.26
2.21670e-04,-1.84,-0.28
2.21672e-04,-1.84,-0.28
2.21674e-04,-1.82,-0.28
2.21676e-04,-1.82,-0.28
2.21678e-04,-1.8,-0.28
2.21680e-04,-1.8,-0.3
2.21682e-04,-1.8,-0.28
2.21684e-04,-1.78,-0.28
2.21686e-04,-1.78,-0.3
2.21688e-04,-1.76,-0.3
2.21690e-04,-1.76,-0.32
2.21692e-04,-1.76,-0.32
2.21694e-04,-1.74,-0.3
2.21696e-04,-1.72,-0.3
2.21698e-04,-1.72,-0.32
2.21700e-04,-1.7,-0.32
2.21702e-04,-1.7,-0.32
2.21704e-04,-1.7,-0.32
2.21706e-04,-1.68,-0.32
2.21708e-04,-1.68,-0.34
2.21710e-04,-1.68,-0.32
2.21712e-04,-1.66,-0.32
2.21714e-04,-1.66,-0.34
2.21716e-04,-1.64,-0.34
2.21718e-04,-1.64,-0.34
2.21720e-04,-1.62,-0.34
2.21722e-04,-1.62,-0.34
2.21724e-04,-1.62,-0.36
2.21726e-04,-1.6,-0.36
