Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-05,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
6.400e-05,-2.16,0.04
6.416e-05,-2.16,0
6.432e-05,-2.12,0
6.448e-05,-2.12,0
6.464e-05,-2.12,0
6.480e-05,-2.12,0.04
6.496e-05,-2.12,0
6.512e-05,-2.12,0
6.528e-05,-2.12,0
6.544e-05,-2.12,0
6.560e-05,-2.08,0.04
6.576e-05,-2.08,0.04
6.592e-05,-2.08,0
6.608e-05,-2.08,0
6.624e-05,-2.08,0
6.640e-05,-2.04,0
6.656e-05,-2.08,0.04
6.672e-05,-2.04,0
6.688e-05,-2.04,0
6.704e-05,-2,0
6.720e-05,-2,0
6.736e-05,-2,0
6.752e-05,-1.96,0
6.768e-05,-1.96,0
6.784e-05,-1.96,0
6.800e-05,-1.96,0
6.816e-05,-1.92,0
6.832e-05,-1.92,0
6.848e-05,-1.92,0
6.864e-05,-1.92,0
6.880e-05,-1.92,0
6.896e-05,-1.88,0
6.912e-05,-1.88,0
6.928e-05,-1.88,0
6.944e-05,-1.88,0
6.960e-05,-1.84,0
6.976e-05,-1.84,0
6.992e-05,-1.8,-0.04
7.008e-05,-1.8,0
7.024e-05,-1.8,0
7.040e-05,-1.76,-0.04
7.056e-05,-1.76,0
7.072e-05,-1.72,0
7.088e-05,-1.72,-0.04
7.104e-05,-1.72,0
7.120e-05,-1.68,0
7.136e-05,-1.68,-0.04
7.152e-05,-1.64,-0.04
7.168e-05,-1.64,0
7.184e-05,-1.6,-0.04
7.200e-05,-1.6,-0.04
7.216e-05,-1.6,-0.04
7.232e-05,-1.56,-0.04
7.248e-05,-1.56,-0.04
7.264e-05,-1.56,-0.04
7.280e-05,-1.52,-0.04
7.296e-05,-1.48,-0.08
7.312e-05,-1.48,-0.04
7.328e-05,-1.44,-0.04
7.344e-05,-1.48,-0.04
7.360e-05,-1.44,-0.04
7.376e-05,-1.4,-0.08
7.392e-05,-1.4,-0.04
7.408e-05,-1.36,-0.04
7.424e-05,-1.36,-0.04
7.440e-05,-1.32,-0.04
7.456e-05,-1.32,-0.04
7.472e-05,-1.28,-0.04
7.488e-05,-1.28,-0.08
7.504e-05,-1.24,-0.04
7.520e-05,-1.2,-0.04
7.536e-05,-1.2,-0.08
7.552e-05,-1.2,-0.04
7.568e-05,-1.16,-0.04
7.584e-05,-1.16,-0.04
7.600e-05,-1.12,-0.04
7.616e-05,-1.08,-0.08
7.632e-05,-1.04,-0.04
7.648e-05,-1.04,-0.04
7.664e-05,-1.04,-0.04
7.680e-05,-1,-0.08
7.696e-05,-0.96,-0.04
7.712e-05,-0.96,-0.04
7.728e-05,-0.92,-0.04
7.744e-05,-0.92,-0.08
7.760e-05,-0.88,-0.08
7.776e-05,-0.88,-0.08
7.792e-05,-0.84,-0.04
7.808e-05,-0.8,-0.04
